seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Championnet-Caserne de Bonne,38000,2,avant 1946,12.791040914148917,15.389050006182009,8.993031822115823,0.8990045460165461,13.690045460165459,16.388054552198554,9.593031822115822
Hoche,38000,2,avant 1946,11.911264581027721,14.313767821256103,8.30876134079934,0.8012516201141913,12.712516201141911,15.215019441370293,8.90876134079934
Ile Verte,38000,2,avant 1946,12.787616030127053,15.384732617116878,8.990499443137226,0.8991496821677466,13.686765712294797,16.385065076630287,9.590499443137226
Mutualité,38000,2,avant 1946,12.788955129617042,15.38647756793156,8.991432691302522,0.8988653763589666,13.687820505976006,16.38555125869394,9.591432691302524
Préfecture,38000,2,avant 1946,12.791235803578893,15.389288204374202,8.993183402783583,0.8990262003976547,13.690262003976546,16.388314404771855,9.593183402783582
Saint Laurent,38000,2,avant 1946,11.917954483897093,14.321666475523472,8.314242492270715,0.8031065173915771,12.72106100128867,15.227274036071824,8.914242492270715
Abbaye,38100,2,avant 1946,11.91672331151624,14.32013293177511,8.31331369125737,0.8030848304807616,12.719808141997001,15.225977802958523,8.913313691257372
Abry,38100,2,avant 1946,11.908393765273871,14.310072518328646,8.306715012219097,0.801678753054774,12.710072518328644,15.213430024438193,8.906715012219097
Allies-Clos d'Or,38100,2,avant 1946,11.902608875624944,14.303188625763822,8.302029125486069,0.8002898750694383,12.702898750694382,15.203478500833258,8.902029125486068
Arlequin,38100,2,avant 1946,12.258010295246462,14.729612354295755,8.586408236197169,0.8716020590492923,13.129612354295753,15.77281647239434,9.18640823619717
Antiquaire - Notre Dame ,38000,2,1946-1970,12.49895896615001,14.998750759380012,8.79916717292001,0.8997917932300021,13.398750759380011,16.098542552610017,9.39916717292001
Berriat-Ampere,38000,2,1946-1970,12.012414084427554,14.414904126789398,8.40992404206571,0.8024900423618446,12.814904126789399,15.417394169151244,9.00992404206571
Centre-ville - Victor Hugo,38000,2,1946-1970,12.489116128681305,14.986939354417563,8.791292902945044,0.8978232257362608,13.386939354417565,16.084762580153825,9.391292902945043
Championnet-Caserne de Bonne,38000,2,1946-1970,12.49502273008273,14.994027276099278,8.796018184066186,0.8990045460165461,13.394027276099278,16.093031822115826,9.396018184066184
Hoche,38000,2,1946-1970,12.006258100570955,14.407509720685146,8.405006480456764,0.8012516201141913,12.807509720685147,15.408761340799337,9.005006480456764
Ile Verte,38000,2,1946-1970,12.494565633493067,14.993715315660813,8.79541595132532,0.8991496821677466,13.393715315660812,16.09286499782856,9.39541595132532
Mutualité,38000,2,1946-1970,12.49411856739142,14.992983943750383,8.795253191032453,0.8988653763589666,13.392983943750385,16.09184932010935,9.395253191032452
