seloger_quartier,code_postal,Nombre de pièces,Époque de construction,LNM - Loyer de référence,LNM - Loyer de référence majoré,LNM - Loyer de référence minoré,LM - Majoration unitaire du loyer de référence,LM - Loyer de référence,LM - Loyer de référence majoré,LM - Loyer de référence minoré
Allies-Clos d'Or,38100,4,1946-1970,9.902029125486068,11.902319000555506,6.901449375347192,0.7,10.602029125486068,12.702608875624943,7.401449375347192
Arlequin,38100,4,1946-1970,9.828397940950708,11.828397940950708,6.9,0.7,10.528397940950708,12.628397940950707,7.4
Antiquaire - Notre Dame ,38000,4,1971-1990,10.79895896615001,12.998750759380012,7.599167172920008,0.7997917932300022,11.598750759380012,13.898542552610014,8.099167172920009
Berriat-Ampere,38000,4,1971-1990,10.312341829664216,12.414795744644392,7.209887914684041,0.7024539149801756,11.014795744644392,13.217249659624567,7.709851787302372
Centre-ville - Victor Hugo,38000,4,1971-1990,10.789116128681306,12.986939354417565,7.591292902945042,0.7978232257362609,11.586939354417565,13.884762580153826,8.091292902945042
Championnet-Caserne de Bonne,38000,4,1971-1990,10.795022730082731,12.994027276099278,7.5960181840661845,0.7990045460165461,11.594027276099276,13.893031822115825,8.096018184066184
Hoche,38000,4,1971-1990,10.306258100570956,12.407509720685146,7.205006480456764,0.7012516201141912,11.007509720685146,13.208761340799336,7.705006480456764
Ile Verte,38000,4,1971-1990,10.792200078801734,12.990166983623812,7.594233173979653,0.7979669048220795,11.59016698362381,13.888133888445891,8.093050396633984
Mutualité,38000,4,1971-1990,10.79370193858459,12.992359000540143,7.595044876629037,0.7986570619555522,11.592359000540142,13.891016062495694,8.094836562225623
Préfecture,38000,4,1971-1990,10.795131001988274,12.994157202385928,7.596104801590618,0.7990262003976547,11.594157202385928,13.893183402783583,8.096104801590618
Saint Laurent,38000,4,1971-1990,10.308029457487562,12.408634931722363,7.207423983252759,0.7006054742348018,11.008634931722362,13.209240405957162,7.704922940095982
Abbaye,38100,4,1971-1990,10.307144030295847,12.407468820073957,7.206819240517739,0.700324789778108,11.007468820073955,13.207793609852063,7.704059199815085
Abry,38100,4,1971-1990,10.30335750610955,12.403357506109549,7.2033575061095485,0.7000000000000001,11.003357506109548,13.203357506109548,7.701678753054774
Allies-Clos d'Or,38100,4,1971-1990,10.301449375347191,12.40173925041663,7.201159500277753,0.7002898750694382,11.00173925041663,13.202029125486067,7.701159500277753
Arlequin,38100,4,1971-1990,10.443204118098585,12.543204118098584,7.343204118098585,0.7,11.143204118098584,13.343204118098585,7.771602059049292
Antiquaire - Notre Dame ,38000,4,après 1990,11.298958966150012,13.598750759380012,7.899375379690007,0.7999999999999999,12.09895896615001,14.49875075938001,8.499167172920009
Berriat-Ampere,38000,4,après 1990,10.812341829664216,13.01479574464439,7.6073978723221956,0.8,11.612341829664215,13.914831872026062,8.10988791468404
Centre-ville - Victor Hugo,38000,4,après 1990,11.289116128681306,13.586939354417565,7.893469677208782,0.8,12.089116128681303,14.486939354417565,8.491292902945043
Championnet-Caserne de Bonne,38000,4,après 1990,11.295022730082731,13.594027276099277,7.897013638049639,0.8000000000000002,12.09502273008273,14.494027276099278,8.496018184066184
Hoche,38000,4,après 1990,10.806258100570956,13.007509720685146,7.603754860342573,0.7999999999999999,11.606258100570955,13.907509720685146,8.105006480456764
Ile Verte,38000,4,après 1990,11.292200078801732,13.590166983623812,7.895083491811906,0.8,12.092200078801731,14.491349760969479,8.494233173979653
Mutualité,38000,4,après 1990,11.29370193858459,13.59235900054014,7.896179500270072,0.8,12.093701938584589,14.492567314943557,8.495044876629036
Préfecture,38000,4,après 1990,11.295131001988274,13.594157202385928,7.897078601192964,0.8,12.095131001988273,14.494157202385928,8.496104801590619
Saint Laurent,38000,4,après 1990,10.80802945748756,13.008634931722362,7.604317465861181,0.8,11.608029457487559,13.911135974879137,8.107423983252758
Abbaye,38100,4,après 1990,10.807144030295849,13.007468820073955,7.603734410036977,0.8,11.607144030295848,13.91022886077661,8.106819240517739
Abry,38100,4,après 1990,10.803357506109549,13.00335750610955,7.601678753054774,0.8,11.603357506109548,13.905036259164325,8.103357506109548
Allies-Clos d'Or,38100,4,après 1990,10.801449375347191,13.00173925041663,7.600869625208315,0.8,11.60144937534719,13.90173925041663,8.101159500277753
Arlequin,38100,4,après 1990,10.943204118098585,13.143204118098584,7.671602059049293,0.8,11.743204118098586,14.114806177147877,8.243204118098586
