conseil_de_quartier,prop_at_flood_risk,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
NATION - ALEXANDRE DUMAS,0.029224071965282438,0.029224071965282438,0.0,0.0,0.1684340392647829,0.029224071965282438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BELLEVILLE - SAINT-MAUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TEMPLE - ENFANTS ROUGES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MARAIS - PLACE DES VOSGES,0.02642886163157837,0.02642886163157837,0.0,0.0,0.16040691040113345,0.02642886163157837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MONTSOURIS - DAREAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DUPLEIX - LA MOTTE PICQUET,0.69534625367965,0.69534625367965,1.0,1.0,0.4602606230966601,-0.30465374632035,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
LEON BLUM - FOLIE-REGNAULT,0.009444159692208472,0.009444159692208472,0.0,0.0,0.0967210811556433,0.009444159692208472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BASSIN DE LA VILLETTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
COURCELLES - WAGRAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VIOLET - COMMERCE,0.8913483951327471,0.8913483951327471,1.0,1.0,0.3112015964403512,-0.1086516048672529,-0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
PLACE DES FETES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ODEON,0.018064990444087808,0.018064990444087808,0.0,0.0,0.1331865104443495,0.018064990444087808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MASSENA - JEANNE D'ARC,0.03797958427437436,0.03797958427437436,0.0,0.0,0.191146894959662,0.03797958427437436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
