conseil_de_quartier,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
EPINETTES - BESSIERES,0.6011494327409453,0.4899745451009001,12.805616039202997,58.0478980318954,12.327197406332198,29.624904561772425,5.090657586677045,1631.4185024660228,0.18226221738753456,16.770875687210005,6.509752862010389,7.833934710980258,1.4372349372460236,2.2163442814527263,1.74661857314189,1.405107436022488,2.0543758051688457,1.7432675067665888,5.40019779184064,5.202750747957923,41027.38267650563,986.0683623009423
SAINT - PLACIDE,0.29894191908680373,1.1982896694830976,16.75883844631526,34.51796558196333,0.659259886593769,64.8227745314429,6.373030056240613,1592.3873302111983,0.15554024889336876,20.384649471944865,10.09750804019816,17.386377806541944,2.0485913925479657,2.9312668164559406,1.6849918527199659,2.9366637116085172,2.890768935118925,1.6849918527199659,6.664850061723873,7.512424499447408,21680.494616241747,765.9124507952259
SAINT - THOMAS D'AQUIN,0.3424145988270464,1.0060429557606725,16.76837190689885,43.07722043661368,1.2827474615310892,55.64003210185522,6.364825161754384,1575.698862635129,0.156995509875953,20.07217841082959,8.468942725623545,15.030490442462646,1.6713714962835455,2.655528278053032,1.6604247176214857,2.6648599160182744,2.367367492514451,1.731490903047495,5.987324491958063,6.763718311580222,28323.625736822276,929.115890819674
GAMBETTA,0.4400929566604798,0.7741216848812239,15.104520824797014,53.33565122755658,3.9246572516094633,42.73969152083396,6.083778236962589,1577.559061916365,0.1668773425982101,15.847064927132756,7.66118192791146,11.60663979422604,1.5007022027531038,2.275847782138365,1.3699213816441767,2.1642373122164953,2.1816895643902767,1.5852261415821056,5.146471366535645,5.931153018188878,23432.9450541857,671.4134959246078
SAINT - LAMBERT,0.39038181051863663,1.0221883634441107,16.296932894160943,44.98296205765795,0.2701024472850957,54.74693549505696,6.317573749708869,1582.4800762359796,0.15704343373209897,13.974923700814182,9.376461966038974,15.20807687721776,1.9309896973637009,2.445337014290624,1.2890054413908727,2.820671813802682,2.430872354525965,1.371764865993196,5.665332153045198,6.623309034321842,13894.180303976253,496.5089886090059
BOIS DE BOULOGNE,0.5377524323198966,1.1639827010223922,14.805719547121772,92.26054982258468,5.445354228051209,2.29409594936412,6.138671748809951,1427.9251232088857,0.1727736713078541,4.483323952274093,0.2920266238289631,3.86491436169157,-0.33293497837520125,1.0321032366918645,1.0006886651016316,0.658019157235561,1.0346776269771238,1.0006886651016316,1.699856923418295,2.693385449314316,122102.30753664358,2130.720978963776
NATION - PICPUS,0.42349758159543216,0.5269343896669765,14.345455761513621,48.729099448750205,1.472756763764091,49.7981437874857,6.061527199963574,1588.0574433618679,0.16567004857840675,19.80342767640196,8.704378705083775,12.606109067531262,1.8471215764508437,2.554166091695193,1.1548124475619375,2.4628196761127383,2.554166091695193,1.2361278302714147,5.556100115707974,6.253113598079345,58791.54181305309,1444.3597169821674
PLAINE LAGNY,0.4664149590851779,0.6330981798213204,14.250067317821586,55.16679317283335,3.794811750427937,41.03839507673872,5.889394052799826,1564.7277439598683,0.17459032436944347,14.134376805408404,7.60821034473828,11.414964768817184,1.6568771271868468,2.379009177436303,1.326374002243129,2.225526804802731,2.3793919648862722,1.5718099350565948,5.362260306866278,6.176728704745598,16722.74461134102,630.9724684269479
DIDOT - PORTE DE VANVES,0.48593981411357834,0.6951772867509839,17.067443838182854,55.18963508034087,4.1434482384149245,40.666916681244224,5.910772914942754,1564.0935573370725,0.1722209147474123,12.310753832147746,8.122359892701551,12.001000878632002,1.698383899758107,2.368808890961335,1.3137713920751355,2.4739594239424245,2.332991240919559,1.769186697819507,5.380964182794578,6.576137362681491,22509.757229183728,810.39406663816
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,0.41680311914490475,0.9163683453674468,18.000953873439354,48.51341328106696,2.680008806183123,48.80657791274994,6.033643190615021,1597.2823882945927,0.16547723621501104,9.483369172296891,9.038212876502948,14.24043162992801,1.8877684560467414,2.7688546890998,1.36796708189057,2.7875020925474634,2.8897160668303012,1.7502019195868304,6.0245902270371126,7.427420078964595,15883.808899519987,588.5846947902988
