code_postal,rooms,epoque,furnished,ref,refmaj,refmin
75018,2,1971-1990,non-meuble,23.148340478449324,27.800871933971234,16.208294414904422
75019,2,1971-1990,non-meuble,19.54191344015655,23.437949437583924,13.707426141934446
75020,2,1971-1990,non-meuble,20.438975690907,24.52290324673755,14.333224750000396
75116,2,1971-1990,non-meuble,26.589794232389885,31.91651187249135,18.641142850670203
75001,2,sup1990,meuble,30.996271833560414,37.1755262002725,21.716126404194913
75002,2,sup1990,meuble,28.270271931223665,33.90432631746839,19.7787248609287
75003,2,sup1990,meuble,27.600019740504717,33.100064381413794,19.300072476104948
75004,2,sup1990,meuble,30.17204059653386,36.186452324292176,21.13717700959782
75005,2,sup1990,meuble,27.48158044240245,32.95165101924458,19.21094847047323
75006,2,sup1990,meuble,32.696384102814555,39.21564889844795,22.917385702497672
75007,2,sup1990,meuble,35.09409127800909,42.09297574491678,24.595804734539254
75008,2,sup1990,meuble,31.466369235587738,37.75791159252893,22.044236934276228
75009,2,sup1990,meuble,30.72312594882355,36.84777844551874,21.498677102743763
75010,2,sup1990,meuble,28.123282665060366,33.75884598015811,19.69720498232181
75011,2,sup1990,meuble,26.475891835426626,31.772477879437837,18.53453428803591
75012,2,sup1990,meuble,27.575617872575727,33.09293819930349,19.32925278544741
75013,2,sup1990,meuble,27.32642628980193,32.76843837655961,19.120808368709973
75014,2,sup1990,meuble,28.46672087997825,34.14975554298017,19.932270158660028
75015,2,sup1990,meuble,29.633086448231865,35.55520984953097,20.714670379276548
75016,2,sup1990,meuble,31.75342575357375,38.13629001023281,22.20959734272087
75017,2,sup1990,meuble,27.36334729933723,32.815503964222366,19.133816080935834
75018,2,sup1990,meuble,27.073074460666632,32.50231820799479,18.965780977661478
75019,2,sup1990,meuble,25.077547101818173,30.073093277188264,17.543855672678333
75020,2,sup1990,meuble,25.433009754214122,30.507743447534132,17.804585758387155
75116,2,sup1990,meuble,31.75342575357375,38.13629001023281,22.20959734272087
75001,2,sup1990,non-meuble,27.19516050916203,32.6741845984556,19.037983361881214
75002,2,sup1990,non-meuble,24.793615019156693,29.727669405401425,17.321327386750937
75003,2,sup1990,non-meuble,24.200014500533293,29.000060843572157,16.900034777297087
75004,2,sup1990,non-meuble,26.478092756125083,31.792504483883395,18.516713122248287
75005,2,sup1990,non-meuble,24.112098610245933,28.913487831325796,16.841691531654092
75006,2,sup1990,non-meuble,28.696754851870725,34.47603310624924,20.097750157808115
75007,2,sup1990,non-meuble,30.794766843908118,36.993701300278516,21.596260751670254
75008,2,sup1990,non-meuble,27.605315351820515,33.16634502606831,19.31375779197041
75009,2,sup1990,non-meuble,26.923342786429615,32.34797899819074,18.873807768442518
75010,2,sup1990,non-meuble,24.632907362433542,29.568525413660208,17.252071705979816
75011,2,sup1990,non-meuble,23.22758407210403,27.87239780127443,16.234483692506483
75012,2,sup1990,non-meuble,24.19487985147497,29.060471052882253,16.940941354499913
75013,2,sup1990,non-meuble,23.981000551499562,28.782125724003052,16.783335106000475
75014,2,sup1990,non-meuble,24.96328124575199,29.970214559994577,17.47671368066596
75015,2,sup1990,non-meuble,25.988643875832395,31.16268967331196,18.218327130394417
75016,2,sup1990,non-meuble,27.831518329127775,33.414395878831236,19.48768367671109
75017,2,sup1990,non-meuble,23.987013465873062,28.76457550572128,16.78342768865153
75018,2,sup1990,non-meuble,23.740020246037748,28.491761753889968,16.59208920548625
75019,2,sup1990,non-meuble,22.020206949170877,26.41569162150135,15.40558814691591
75020,2,sup1990,non-meuble,22.32545225627046,26.786599539832196,15.62382315325253
75116,2,sup1990,non-meuble,27.831518329127775,33.414395878831236,19.48768367671109
75001,3,inf1946,meuble,31.10539813933719,37.35742261141773,21.76598241320974
75002,3,inf1946,meuble,30.35489534916146,36.449669180648115,21.222269111003616
75003,3,inf1946,meuble,29.89912876938498,35.898961368813424,20.89943288061247
75004,3,inf1946,meuble,31.66360885933585,38.03102862463205,22.14922720200708
75005,3,inf1946,meuble,29.463800987912766,35.370321463523716,20.61978464365752
75006,3,inf1946,meuble,32.13496809432071,38.593901618439354,22.476473330648528
75007,3,inf1946,meuble,31.896258650397986,38.295489502565154,22.29742576381785
75008,3,inf1946,meuble,31.292842181920474,37.579184559222476,21.898026292086026
75009,3,inf1946,meuble,28.322538040253225,33.997027361971874,19.823273831779073
75010,3,inf1946,meuble,27.205335467315205,32.65669978574194,19.054043954382962
75011,3,inf1946,meuble,27.930758588723776,33.527263215238804,19.585991252275853
75012,3,inf1946,meuble,25.237822172481707,30.267602101118385,17.648702929785514
75013,3,inf1946,meuble,26.07784354235213,31.27246279792486,18.263074531891842
75014,3,inf1946,meuble,27.518993654633903,33.01488296326075,19.26733546114376
75015,3,inf1946,meuble,27.831976217122808,33.38798299082145,19.471984022411146
