cq,rooms,epoque,furnished,ref,refmaj,refmin
MUETTE SUD,1,inf1946,non-meuble,29.499981049084603,35.3999810490846,20.699981049084602
PASTEUR - MONTPARNASSE,1,inf1946,non-meuble,30.20005313312307,36.20006568885143,21.10003924012286
GRANGE AUX BELLES - TERRAGE,1,inf1946,non-meuble,29.600067807076936,35.500082040155704,20.70005069623911
BIBLIOTHEQUE - SEINE,1,inf1946,non-meuble,27.300179202463973,32.80020989419917,19.100123758940637
SENTIER - ARTS ET METIERS,1,inf1946,non-meuble,32.89993081678745,39.499915828237754,22.999952721365734
CHATEAU D'EAU - LANCRY,1,inf1946,non-meuble,29.600350585968645,35.500421319830366,20.700255246373032
CROULEBARBE,1,inf1946,non-meuble,31.099931825928298,37.29991709195553,21.79994426820811
EPINETTES - BESSIERES,1,inf1946,non-meuble,29.60003676595207,35.50004269477079,20.700024311794756
SAINT - PLACIDE,1,inf1946,non-meuble,33.39998879873274,40.09998634845553,23.399991949089156
SAINT - THOMAS D'AQUIN,1,inf1946,non-meuble,33.4000339817675,40.10003964539542,23.400022654511663
GAMBETTA,1,inf1946,non-meuble,26.69780572030514,32.07736686436617,18.698537146870095
SAINT - LAMBERT,1,inf1946,non-meuble,28.470383423626277,34.19728622717712,19.91657841584204
BOIS DE BOULOGNE,1,inf1946,non-meuble,29.460158079084895,35.36015808046213,20.660158074953213
NATION - PICPUS,1,inf1946,non-meuble,27.999976553199364,33.59997229014577,19.599984013546088
PLAINE LAGNY,1,inf1946,non-meuble,27.30000439875713,32.80000440016805,19.10000366445518
DIDOT - PORTE DE VANVES,1,inf1946,non-meuble,30.999980455402017,37.19997611742123,21.699985733100593
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,inf1946,non-meuble,30.999976753548008,37.19997127488019,21.699984058438435
CHAILLOT,1,inf1946,non-meuble,29.500099177152848,35.400118877928634,20.700067856765646
MARAIS - ARCHIVES,1,inf1946,non-meuble,33.175173817001976,39.82520542009324,23.200126412365073
OPERA - CHAUSSEE D'ANTIN,1,inf1946,non-meuble,33.93142998776178,40.71724343002369,23.752709824368914
OLYMPIADES - CHOISY,1,inf1946,non-meuble,27.62647750353177,33.18824351771345,19.329416624103406
SORBONNE,1,inf1946,non-meuble,32.900002852378115,39.5000033675124,23.00000207648677
LA CHAPELLE - MARX DORMOY,1,inf1946,non-meuble,27.735799776733028,33.31159140906048,19.403165591909893
ELYSEES - MADELEINE,1,inf1946,non-meuble,33.773764424851386,40.52851730982166,23.64414882600873
DANUBE,1,inf1946,non-meuble,27.3,32.8,19.1
