seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Amiraux-Simplon-Poissonniers,75018,1,inf1946,meuble,33.089263299935205,39.68743665282168,23.158955779906368
Charles-Hermite-Evangile,75018,1,inf1946,meuble,31.124683204596547,37.32942997471127,21.817088372412996
Clignancourt-Jules Joffrin,75018,1,inf1946,meuble,31.9,38.3,22.3
Goutte d'Or-Château Rouge,75018,1,inf1946,meuble,33.013708883537774,39.59970113061192,23.104345304777283
Grandes Carrières-Clichy,75018,1,inf1946,meuble,31.9000970862669,38.30011326731138,22.300070117859427
La Chapelle-Marx Dormoy,75018,1,inf1946,meuble,31.632187974267925,37.934775424032374,22.168681436898417
Montmartre,75018,1,inf1946,meuble,31.917211566639622,38.32055826015288,22.312430575906397
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,1,inf1946,meuble,31.902556112881488,38.30298213169507,22.301846081525518
Bas Belleville,75019,1,inf1946,meuble,29.595029752646138,35.531314357789604,20.736067269288004
Bassin de la Villette,75019,1,inf1946,meuble,31.101519444528883,37.3018118392314,21.801052116966964
Buttes Chaumont,75019,1,inf1946,meuble,29.814039859729295,35.787316775121774,20.892082523717274
Danube-Porte des Lilas,75019,1,inf1946,meuble,31.097840622691763,37.29745955610795,21.798475733664773
Flandre-Aubervilliers,75019,1,inf1946,meuble,31.13421579573118,37.34121436970646,21.82410647184087
Manin-Jaurès,75019,1,inf1946,meuble,30.7666368070409,36.90780800828341,21.564684804970046
Place des Fêtes,75019,1,inf1946,meuble,31.124424691500174,37.3291217475579,21.816909401807813
Pont de Flandre,75019,1,inf1946,meuble,31.1,37.3,21.8
Secrétan,75019,1,inf1946,meuble,29.930499267578305,35.924709440409146,20.973962081212115
Amandiers,75020,1,inf1946,meuble,29.48222732636418,35.39850672182251,20.657531450152508
Belleville,75020,1,inf1946,meuble,33.69040261847232,40.38861710007595,23.593304159248824
Gambetta,75020,1,inf1946,meuble,30.536656799331908,36.637260035877226,21.402331625245647
Plaine,75020,1,inf1946,meuble,31.10079855551233,37.301526971283565,21.800416812691434
Père Lachaise-Réunion,75020,1,inf1946,meuble,30.146257220092384,36.17866553697531,21.126257824800838
Saint Blaise,75020,1,inf1946,meuble,30.960979590237628,37.136446576750146,21.70186794605009
Télégraphe-Pelleport Saint Fargeau,75020,1,inf1946,meuble,31.496482659696085,37.77635394660961,22.071381176670762
Les Halles,75001,1,inf1946,non-meuble,31.111785906913457,37.314264766589005,21.808067617400127
Palais Royal,75001,1,inf1946,non-meuble,33.98402946713991,40.78072622903227,23.78898432430137
Saint Germain l'Auxerrois,75001,1,inf1946,non-meuble,33.99634207914912,40.79558526793859,23.797477295964914
Seine et Berges,75001,1,inf1946,non-meuble,33.95620840512894,40.74890980598376,23.770805603419294
Vendôme,75001,1,inf1946,non-meuble,34.0,40.8,23.8
Montorgueil-Saint Denis,75002,1,inf1946,non-meuble,32.87058450221461,39.464047724928975,22.98038966814308
Sentier-Bonne Nouvelle,75002,1,inf1946,non-meuble,32.89582170758714,39.49489319816206,22.997214471724757
Vivienne-Gaillon,75002,1,inf1946,non-meuble,33.36858771530633,40.05362782345213,23.341027553087635
Archives,75003,1,inf1946,non-meuble,32.9005183813817,39.50060815637261,23.000381480810656
Arts et Métiers,75003,1,inf1946,non-meuble,32.89491128559164,39.49383186132321,22.996453320260844
Enfants Rouges,75003,1,inf1946,non-meuble,32.89988079759364,39.499854862867316,22.99991648662336
Sainte Avoie,75003,1,inf1946,non-meuble,32.905291758757194,39.50603999323242,23.00416940704435
Arsenal,75004,1,inf1946,non-meuble,33.74132814349334,40.488536719424644,23.617635190880836
Saint Gervais,75004,1,inf1946,non-meuble,32.90656287414922,39.50775612399454,23.004772999381256
Saint Merri,75004,1,inf1946,non-meuble,33.9862460356189,40.783490288378886,23.790379656478915
Seine et Berges,75004,1,inf1946,non-meuble,33.68048684697844,40.422392723226544,23.567627621005016
Île Saint Louis,75004,1,inf1946,non-meuble,34.0,40.8,23.8
Île de la Cité,75004,1,inf1946,non-meuble,33.911378401154565,40.695265383182665,23.735547928112414
Jardin des Plantes,75005,1,inf1946,non-meuble,30.227322147651208,36.23339373601815,21.119226696495296
Saint Victor,75005,1,inf1946,non-meuble,32.88703220247806,39.484150469695415,22.990874512854937
Sorbonne,75005,1,inf1946,non-meuble,32.90102895684871,39.501216039912116,23.00074833225361
Val de Grace,75005,1,inf1946,non-meuble,32.905233658316035,39.5060122381609,23.00420823683177
Monnaie,75006,1,inf1946,non-meuble,33.99871562738801,40.79848210509492,23.799065910827647
Notre Dame des Champs,75006,1,inf1946,non-meuble,33.396694072626936,40.09583703018565,23.39762116010608
Odéon,75006,1,inf1946,non-meuble,33.99648639197187,40.79587116431547,23.79753908937439
Rennes,75006,1,inf1946,non-meuble,33.40350955122102,40.10409447642453,23.402339700814014
Saint Germain des Prés,75006,1,inf1946,non-meuble,33.99605707312013,40.79539991864015,23.79737138208009
Saint Placide,75006,1,inf1946,non-meuble,33.37746226617107,40.07253846661161,23.383908608975958
Ecole Militaire,75007,1,inf1946,non-meuble,33.341256590255874,40.0286507854913,23.35802249036335
Gros Caillou,75007,1,inf1946,non-meuble,33.397014460775345,40.09641735293042,23.39791012254274
Invalides,75007,1,inf1946,non-meuble,33.4,40.1,23.4
