,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
SALPETRIERE - AUSTERLITZ,0.4358918081369342,0.67393396609968,16.674291020838638,43.61308431544656,9.940766622438252,46.44614906211519,5.702228670090937,1617.3465583387306,0.17636001725926118,14.215612507730368,8.70154462328198,12.733541625129668,1.7839591722902526,2.1541751284029713,1.2231999852387083,2.459248931938345,2.15114344118262,1.6063828964910103,5.161334285931932,6.216775269611976,16316.495586699382,632.6577024138583
NATIONALE - DEUX MOULINS,0.4399486092366797,0.7817714060599256,18.701594097120967,56.29204763864062,4.317761694841808,39.39019066651758,5.742208732787102,1542.2449640425673,0.17747108323633368,15.310264746926041,6.9413301343267815,12.154228461349133,1.5069151612196292,2.3941194026872137,1.2579519403820463,2.4107034942189203,2.3818566720378818,1.7886377636616333,5.15898650428889,6.581197929918435,23698.784557147064,760.4572136766192
NATION - ALEXANDRE DUMAS,0.33086099420265835,0.8208076837064113,17.6535812040187,38.24066897885396,2.9604862017040032,58.79884481944204,6.221155578116786,1595.1281486249527,0.15965559039935173,25.252724005628174,10.188360560163982,15.664630377957302,2.0240931186953235,2.754373388356612,1.865574830550009,2.8961490759557043,2.7580991343723644,1.865574830550009,6.644041337601945,7.5198230408780775,29637.896419606972,838.0500185549131
BELLEVILLE - SAINT-MAUR,0.27043484542067275,0.8586195592206824,16.1513153971556,31.82415021654139,2.727023422482845,65.44882636097576,6.443024350107391,1598.7763648002656,0.15252912728756812,21.15072657906707,10.762532875580566,16.901577187268533,2.0359532679909025,2.2952916177345974,1.9882988623738016,2.9589163123615414,2.2952916177345974,2.007572312606527,6.319543748099301,7.261780242702667,25259.35787392813,657.9967943616782
TEMPLE - ENFANTS ROUGES,0.2169161626550587,1.433003444625205,17.336072509496425,25.5681018766552,1.39081069716838,73.04108742617642,6.413867614971064,1589.5100518607494,0.15358089813087022,29.934049970129927,10.923640910846345,18.857915751107342,2.1523021301265515,2.3787569989880035,1.877499224006307,2.901306644969381,2.3675229448600086,1.9483409722195133,6.408558353120862,7.217170562048903,10626.905486835327,433.82538209595697
MARAIS - PLACE DES VOSGES,0.28531398955072695,1.0638530312962338,15.522933808389242,32.76371341358545,0.9963448902747206,66.23994169613982,6.403435563052415,1587.722261595467,0.15432182405714634,12.958734374728861,10.850748203750394,17.22754335189981,2.2713989557833036,2.7674750326843864,1.830737084327808,2.8619658933779943,2.548905256021788,1.9099493000048158,6.869611072795498,7.320820449404597,13893.116081372931,495.2399711309598
AMIRAUX - SIMPLON - POISSONNIERS,0.37141912497664475,0.6139761265641859,17.36923143690045,42.78294914819813,2.9549878206338294,54.26206303116804,6.206239857231279,1603.2854362763887,0.15946425286102295,8.438327182296115,10.132914801447114,13.871171035394365,1.9360356086926167,2.259225152110921,1.7870151764119084,2.5828710203195557,2.214732939835333,1.9809827050850957,5.982275937215446,6.778586665239984,32814.45325604117,835.6609312697681
PIGALLE - MARTYRS,0.2604650261136281,1.4320481470984057,17.49839112407076,28.48199230113776,1.1049373471140589,70.41307035174817,6.5087973324760435,1599.5601333761977,0.15030790663666152,12.864171677555376,10.504219169922948,18.857325646049148,2.099842311359393,2.398806001840566,1.6557905957657697,2.9999999999999996,2.398806001840566,1.9036356272568173,6.154438908965729,7.302441629097383,13728.108452078588,514.5694685737506
CITROEN - BOUCICAUT,0.49753832272755794,0.7591094585896294,16.88930671537834,55.7144065573884,4.641475463122971,39.644117979488634,5.774150715013856,1564.2139228419396,0.17970188735426462,13.206051048116453,7.401922054340829,11.498674167486932,1.4713420366231502,1.7376956083008728,1.2363024260618536,2.2266065570207707,1.6945968622771646,1.3812492861902104,4.445340070985876,5.302452705488144,27678.86279781578,891.5025052314156
VIOLET - COMMERCE,0.3394145527772422,0.9900635101261901,17.15200588783077,41.56123396489279,3.0038420697310695,55.43492396537616,6.340374977860909,1594.5689398357495,0.15730290163649588,11.313428524576388,9.60574722181405,15.412082466477255,1.9470472210962344,2.7464857432405503,1.413838978728088,2.861847877270474,2.7464857432405503,1.4971323427380947,6.107371943064873,7.105465963249119,21286.264477056007,633.6641066406847
PLACE DES FETES,0.3850372786981514,0.9898829099831021,17.26458394987739,47.809103682000135,1.7079058206401734,50.48299049735968,5.925746987810831,1585.4649197423332,0.1700873702496224,8.510925286727318,9.215894445457344,14.972799058874575,1.8995149258927355,2.478689761804815,1.5120625250197437,2.7999666036807698,2.484721287685571,1.9154924026666158,5.890267212717296,7.200180294032956,15822.805111239084,552.6779728083287
ODEON,0.3769384296718717,1.039366236439661,15.80977787423151,62.0065596345065,1.482373815483327,36.51106655001017,5.8463274408894375,1495.9212693932486,0.18019453513928393,12.416322143489243,5.2188397517246585,10.955491840967454,0.6621622418652968,2.3051472295337376,1.447406930509269,2.008947622247585,2.1449253943326116,1.447406930509269,4.4147164019083025,5.6012799470894645,109235.82600468199,1540.4777444106187
MASSENA - JEANNE D'ARC,0.4466809257729513,0.7869662325971498,16.542262560781353,50.98284780974869,4.413238421588864,44.60391376866243,5.84283896628123,1578.5257843826173,0.17336616096931878,9.220132436910115,8.049266963821188,13.091918462921475,1.7844384697887554,2.5445371755668105,1.4387929334153038,2.446600968144762,2.519774118924083,1.7566586119731817,5.76776857877087,6.723033699042027,21824.78288403276,638.4358169102711
JARDIN DE REUILLY,0.44919951093049154,0.7182327698126852,16.504791569860345,44.799443712358524,8.181210092595215,47.01934619504625,5.820230472964338,1616.4785257147962,0.1733092110233198,13.504856494933893,9.41937422697447,13.145814951060274,1.9934382401034658,2.2396245890064765,1.2194195642019756,2.421178975244252,2.264655937251112,1.370019558144346,5.452482393311918,6.05585447063971,18177.85162629174,760.5796961923311
SAINT - VINCENT DE PAUL - LARIBOISIERE,0.26857596335618755,0.8071261107210288,17.64307630027585,30.974686979278143,2.5265805012920524,66.49873251942981,6.269586231978529,1593.0930968635246,0.15854540313456467,32.607991365652516,11.783880047765704,16.89426814071934,2.4452915039524217,2.0965605041565096,1.9308294943254896,2.7475225722269916,2.0931352730932513,1.9535121242897628,6.472681502434421,6.794169969610005,17263.213729075112,658.1506758182154
PLATEAU,0.4024222664742353,1.0826701490503585,15.73874187543314,68.33356702672636,1.4703450590912417,30.196087914182392,6.183253463046105,1514.2573964427202,0.16068154388226402,11.749000582211345,4.781258086648634,10.407209680919086,0.6430530957986316,1.8103473868318984,1.1559906648640053,2.0808249145614717,1.8103473868318984,1.4659895048642215,3.6093911474945357,5.357161806257592,20168.95278629837,770.0821835698481
MONTPARNASSE - RASPAIL,0.4812208388454597,0.6264267654507079,15.357215682778865,45.689506275966146,16.817244505919728,37.49324921811412,5.532535164069573,1647.899829671088,0.17387651468671386,21.05793604544884,8.547608981198032,10.91519796460878,1.8408250210919854,2.150199009821372,1.1549971738830294,2.08619976806222,2.143808386383176,1.2035464648167342,5.146021204796386,5.4335546192621305,62444.862952790616,1034.9423763498976
