,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
MARAIS - ARCHIVES,4.1892050165926165,5.0,5.0,1.6229115643142547,-0.8107949834073821,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
AMIRAUX - SIMPLON - POISSONNIERS,2.47782216882375,1.0,1.0,1.9069738187564644,1.4778221688237494,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,4.0
PIGALLE - MARTYRS,4.291029107341012,5.0,5.0,1.5485658439337422,-0.7089708926589886,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
CITROEN - BOUCICAUT,2.021798690130903,1.0,1.0,1.888650934272946,1.0217986901309033,0.0,0.0,-1.0,-1.0,0.0,0.0,2.0,4.0,4.0
SAINT - GERMAIN DES PRES,3.6780927521276277,5.0,5.0,1.996125863305878,-1.3219072478723721,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
BEL - AIR NORD,3.2720261886815685,3.0,5.0,1.6845138496569205,-1.7279738113184318,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
AUTEUIL SUD,2.646372144145731,3.0,1.0,1.8381418011691464,1.6463721441457309,2.0,0.0,-1.0,0.0,0.0,2.0,4.0,4.0,4.0
PONT DE FLANDRE,1.9540727802792899,1.0,1.0,1.620568141180542,0.9540727802792901,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,4.0,4.0
SAINT - PHILIPPE DU ROULE,4.212861816226943,5.0,5.0,1.6122081987941874,-0.7871381837730562,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
TERNES - MAILLOT,3.4143920664211262,5.0,5.0,1.9004621945771223,-1.5856079335788726,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
TRIANGLE D'OR,2.8638847573251374,3.0,5.0,2.203807285030186,-2.1361152426748626,-2.0,0.0,-5.0,-5.0,-4.0,-2.0,0.0,0.0,0.0
MARTIN LUTHER KING,1.5091026217676633,1.0,1.0,1.6561850756294567,0.5091026217676634,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,4.0,4.0
BAS - BELLEVILLE,3.7491795825762395,5.0,5.0,1.5227872119575094,-1.2508204174237607,0.0,0.0,-4.0,-4.0,-2.0,0.0,0.0,0.0,0.0
BLANCHE - TRINITE,4.235091885330606,5.0,5.0,1.611789017208067,-0.7649081146693946,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
RENNES,4.2962928197793175,5.0,5.0,1.5701446005041093,-0.7037071802206812,0.0,0.0,-5.0,-4.0,0.0,0.0,0.0,0.0,0.0
MANIN - JAURES,2.312448685967464,1.0,1.0,1.9613413337522978,1.312448685967464,0.0,0.0,-1.0,-1.0,0.0,0.0,4.0,4.0,4.0
