seloger_quartier,code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
Auteuil Nord,75016,15.539609700497817,290.1373948936625,34.659605711143385,36.219462295146734,0.5025284997702755,0.049773922378778646,28.569589682451863,83.02956859441593,1.949190622437457,0.0,7.063681548872241,27.62351908706118,19.375481238413776,43.98812750321534
Auteuil Sud,75016,14.457306473292453,724.7935186074271,32.54887832829635,41.69939563009916,1.0432364409519461,0.04777311948419431,24.660081498319183,76.68609492357757,1.8911966388286894,0.24886291380775918,2.182259422354974,24.310208044364373,36.8756100372685,34.49186294337569
Bois de Boulogne,75016,5.182348752027244,198.40914283515863,1.8048180630216701,16.507958431642713,2.768401849500951,5.325936210581022,73.58924861636602,74.22734069570777,3.0430908430153907,0.0,89.19778811479509,0.5258619438183009,7.113125377480268,0.12013372089094974
Chaillot,75016,15.644059124254863,388.0788567865108,41.75914254448737,39.467774184840444,0.5871347914752131,0.6011366982348259,17.584736248432424,77.51184959536072,0.0,0.0,9.209970893819166,2.984422925921934,28.220444722547857,59.58516145771103
Muette Nord,75016,14.946220652396324,395.8751769007436,37.10034247557222,35.617538483228465,0.5239607405456086,0.055539843147903195,26.70265525426266,79.86301268161952,0.9774083340940475,0.0,10.317479077969276,11.78442735273957,24.163505699028438,52.757179536168685
Muette Sud,75016,16.514134923013096,479.0369706492098,39.31524735307176,33.965272868258666,0.3844648542991692,0.15498810236160251,26.179815908971282,78.56352803195479,0.43363238781493185,0.0,8.908337217621115,12.097362554451397,17.184500480821324,61.376167359291244
Porte Dauphine,75016,15.27378894277049,429.8247429393696,40.47682348391874,38.104160244608224,0.4858418901886241,0.04166802789534292,20.89143734134207,82.14414483607591,0.3981257045099696,0.0,7.792008670549621,5.596627860788647,25.246027142948044,60.967210621203705
Batignolles-Cardinet,75017,14.46293533133482,173.99364123544737,48.42715325590973,38.6504551488405,0.4117949515006042,0.15352681459258502,12.35738026580913,80.3368343504256,0.0,0.0,4.065906174854927,0.4196283268043749,21.95604450843566,73.55842098990504
Champerret-Berthier,75017,14.303277291429314,375.7276885346639,28.701204517067083,46.037448811227925,0.8897280063635636,0.07895197326093056,24.293117528687166,75.057009046709,0.03555145998630152,0.0,8.663654200722014,17.59529804165987,39.438574988068154,34.26692130956368
Clichy-Batignolles,75017,15.510572410927205,583.4446059710633,17.949472641256857,56.580555576904,0.38599921656071234,1.0982502620003618,23.98491841769607,68.82291992915519,0.0,0.0,14.127820258570464,12.716913708322103,63.16024375532252,9.995022277784937
Courcelles-Wagram,75017,17.459677044043353,294.5329079517551,53.4520102283587,39.64686419571584,0.47173524231344355,0.04186046518822366,6.387712795024759,66.9152293178462,0.0,0.0,0.0,0.44258854274436943,17.048991814786394,82.50841964246922
Epinettes-Bessières,75017,14.27772184525874,377.70468817283364,23.51611210560006,48.68243657091159,0.6320258587617111,0.25238975580153566,26.91611554688748,69.68511130744098,0.8945550332815043,0.0,14.029230762424216,32.08160077372804,29.91538312068444,23.079230309881794
La Fourche-Guy Môquet,75017,14.902267762212558,169.07827715227128,48.515012291361906,37.24173938795209,0.4677756797993358,0.04154581711723923,13.733582297534074,74.12306928454065,0.0,0.0,2.5988936129958797,1.6094683135969818,16.87152573215957,78.92011234124759
Legendre-Lévis,75017,15.92920238610008,268.529745510671,52.620544882493135,37.15811388251291,0.47867393699899086,0.04247618553574663,9.699551915278422,70.16781057928637,0.0,0.0,1.9025720218721873,0.31286232260929775,18.807745559355467,78.97682009616304
Pereire-Malesherbes,75017,15.901854369320075,585.4344168063552,34.115200624356774,43.528611863704,0.5841715075102459,0.051837744693741965,21.72020919374312,76.08183734015664,1.1874203918733723,0.0,4.874010717262279,11.701203656966937,29.819290411408353,52.41807482248905
Ternes-Maillot,75017,17.56231491014977,615.1934430984683,45.37822319324878,42.75336529988761,0.6582096695431294,0.058407683986762333,11.151164515914477,76.83115357619909,1.4134860304315355,0.0,0.0,1.7146304327258088,25.85742370014451,71.01445983669812
Amiraux-Simplon-Poissonniers,75018,12.904123745854479,552.099786916435,26.503839558858896,59.33515664590688,0.33872290029358715,0.032714376702396186,13.791194872664395,61.72459970434032,0.0,0.0,0.3824040012334625,6.999210345354004,65.18395371823253,27.434431935179997
Charles-Hermite-Evangile,75018,13.443878904426942,1332.0774748039437,21.53558087634904,55.5211730697245,0.6143771033480103,0.0657420112254612,22.26393906215289,63.90890640960117,2.4711706828219193,0.0,2.7821986161402803,16.079465727990673,68.70030309333062,9.966861879716522
Clignancourt-Jules Joffrin,75018,15.511235705608724,244.60717510743393,49.503455340566916,39.358909496417965,0.46207508938239544,0.04100325025236274,10.63488426621941,69.63843018127154,0.5548043275947029,0.27875418514985423,0.5839640759526277,2.090417632109441,18.971779583792838,77.52028019540055
Goutte d'Or-Château Rouge,75018,14.987004029977294,232.63122760996748,50.26237891005401,38.612439652025685,0.4956731818909282,0.043984650952778606,10.584687343996691,73.23575243313427,0.0,0.0,0.9079825522832512,1.4830630544240997,21.875181980324214,75.73377241296842
Grandes Carrières-Clichy,75018,14.07249516043797,280.9615445497551,41.49562410359915,36.13559752707843,0.3581119952843939,0.02875378892734543,21.98029259541126,76.80551024231838,2.4498410274111038,0.0,16.135839914542952,0.0,14.504087676882838,66.9102313811631
La Chapelle-Marx Dormoy,75018,13.070035343865529,784.6498676783315,28.31460238046501,57.37400927778673,0.3108591859440934,0.0938835762751648,13.906066593048024,67.89088701776231,0.0,0.0,6.167399096978516,1.4025897064423156,54.08762086004295,38.342390336536226
