conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
DIDOT - PORTE DE VANVES,14.101879406257789,383.3969831131401,29.82963973782778,40.66899598513429,0.5502655012032328,0.048329342288277365,28.905265399840545,81.11998237293562,5.885771028225675,0.0,0.801300865748129,28.135837620087678,30.371539313504453,34.80555117243404
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,15.283957484150864,298.535816313038,38.297686609479726,40.12333079210404,0.48301381503062185,0.04286129416653982,21.05344696222364,84.92952409539997,1.3321758512871418,0.30606960624138,0.20666109409616745,27.060994131697264,24.587611471589486,46.50648784508856
CHAILLOT,15.008305526032036,375.36472444455023,39.870509563213844,38.31654791609061,0.580301550286016,4.084348073437723,17.148225889425543,77.08574566564377,0.0,0.0,12.577011503943442,2.852131023731272,27.773144333843604,56.79771313848168
MARAIS - ARCHIVES,15.419936244397984,433.66973597001146,59.77126853498348,31.205789294561924,0.4049077922650917,0.03593038429656104,8.581804883717114,52.64339238623843,0.0,0.0,0.0,0.36650013599844294,20.086624517185328,79.54687534681621
LA FOURCHE - GUY MOQUET,14.92440013143663,168.9768809394656,49.77162358615552,36.83028974167527,0.42749532319650574,0.03793473857716433,12.9325279327504,73.29997538427074,0.0,0.0,2.566150565373034,1.8548153919366777,15.484447129195054,80.09458691349525
CHARLES HERMITE - EVANGILE,12.753542203323844,1162.400179352438,19.490177415873013,60.114287220012116,0.5977763059309084,0.0679225131425104,19.730814200530244,60.30948792032171,1.9308694090666685,0.0,2.0339604400964806,14.370255975920731,73.98733713391924,7.677577040996864
JEAN MOULIN - PORTE D'ORLEANS,12.508670704415122,338.0500340157858,32.37442757926823,42.13792811110806,0.6397500754226557,0.05668664693382634,24.792614208377223,72.45447752879734,0.030764461367393213,0.0,5.481145165475484,10.978239511165215,40.944463653732946,42.565387208258976
INVALIDES,11.3762384334613,462.9491137231012,28.062515239668777,36.31212056480902,1.0487387607028884,6.213294560949226,28.363919950384407,68.6791280133244,0.6289212829186662,0.0,28.803178421137787,6.301813146398311,34.530641558643524,29.735445590901698
LOUIS BLANC - AQUEDUC,15.391825741556135,944.2598837043761,42.431400032038546,46.055413949974955,0.48639369601422844,1.6346551875147548,9.392000680106124,69.37242500165644,0.0,0.0,3.3225343886613414,1.1266715276400794,42.72934022476348,52.82145385893511
NOTRE - DAME DES CHAMPS,14.762037431234232,524.6861242898489,43.28264686341994,35.593870359949236,0.48148894709157564,0.04132349507782797,20.60212205842147,79.47757169224269,0.4780205227736361,0.0,8.072044564296409,2.4819326454798523,27.395101833104395,61.57290043434571
