code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
77127,4.221493759737723,1457.8033598603636,7.796216167335925,20.89674947828675,17.328329156441526,1.9352429168792171,52.04375827140362,42.754245882256654,11.12486753693316,0.0,56.2749893382379,1.8589093594350974,30.71236244113549,0.02887132425835458
77130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77131,4.13750268975947,97.30230795318137,0.5666668240856806,2.4013555529460437,10.556369053372729,0.3799775756583015,86.09524034446343,41.25494854848029,1.8868922069167449,0.0,96.30590910729188,0.0,1.8071986857913964,0.0
77133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77135,4.623645165946012,109.1002684725386,1.01095028649584,3.9401301083638995,0.2935052469935897,0.5911234030694074,94.16130602344384,89.96854992246332,4.362827789989122,0.0,93.57074373129818,0.0,2.066428478712718,0.0
77138,2.345586959274988,39.15692143917817,0.9555240164112829,4.077800662999613,11.962366381518644,20.225682190620937,62.77894752820553,45.548373169776056,2.9743619661600538,0.0,93.1115000782517,0.0,3.914137955588232,0.0
77139,3.9149909663583546,56.272358405783024,0.34290201041847373,1.9742155667782224,22.290320303104686,0.17165379540116094,75.21888552051873,15.718097052782458,1.2630299677109469,0.0,97.36378851142896,0.0,1.373181520860078,0.0
77140,0.47100411073660237,4.648560482291998,0.0031261334783402816,0.55116482886441,4.470281123369829,0.07422487005473823,94.89850666075334,69.15317823437053,0.0,0.0,100.0,0.0,0.0,0.0
77141,2.784335017101045,40.05269901472473,0.2920767442763113,2.702735465359929,16.125854185665933,0.34095038692349866,80.53852379974283,25.95163627583694,0.9976299565663057,0.0,96.56222235427062,0.0,2.440147689163058,0.0
77144,5.133077277578426,347.8185889445531,6.6914901581099855,15.69809336429276,3.947726316445529,2.453772438743813,71.20894693592197,57.44402622558146,20.32512668452755,0.018411243492178056,62.65528461433634,1.2972366988732267,15.703940758770717,0.0
77145,2.8534963703189242,32.141481587059786,0.3231099896107021,1.7982127363568754,12.945725335843383,0.9052774654715691,84.02606823093205,38.95140574185556,1.3688736468238556,0.0,97.41588513813818,0.0,1.2152412150379837,0.0
77148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77150,4.254263569960795,125.87647075641382,2.1193853662711652,4.980925161250685,8.103036019109169,0.7609959975573269,84.03717151555315,53.779933903914994,11.320316584158485,0.012031633084328534,85.41636331418833,0.019717537400924304,3.2315709311679077,0.0
77151,4.449218377985904,44.073144867550425,0.2893192741286645,1.4480139735656996,10.008388642705029,0.3821927923316856,87.87122961987836,29.277991501467696,1.1572985141702155,0.0,97.50906696237116,0.0,1.3336345234586167,0.0
77154,1.88284432656249,28.25795316750978,0.24824465337401008,1.1110294743712843,5.8975632729943,1.018049172551641,91.72628707810625,65.06258813304223,0.7785343295203017,0.0,98.25818764433023,0.0,0.9632780261494691,0.0
77157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77160,1.947503752897557,17.264545586175476,0.3123101273567458,1.94974955424836,11.961162499688553,0.005417634622993902,85.77368982584251,18.015634837138464,1.6024288439929597,0.0,96.99257244625353,0.0,1.4049987097535057,0.0
77163,3.1387899989559265,58.41153162449497,0.5204843043660801,2.463080392340921,5.23509903693329,0.5099748424528434,91.27138247817703,70.26236624288825,1.7262007748194055,0.0,96.50613633142892,0.0,1.7676628937516603,0.0
77164,5.140774263172321,770.2847389834402,5.865047887272384,11.142630478691576,2.136977089156375,1.7707817068844263,79.08510147312931,65.49860920776538,10.081099602087464,0.0,72.76440584765062,0.0,17.15449455026191,0.0
77165,3.0496193258265665,63.5413895440406,1.1104564246062507,4.1279877466241715,14.877914161704844,0.15957445417233088,79.72289761249799,27.007465285456036,3.6373203447085882,0.0,93.34390339220144,0.0,3.018776263089957,0.0
