seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Trudaine-Maubeuge,75009,0.21885395076931113,1.5529299498118019,20.370284514113017,29.0927058769091,1.757687436689114,69.14960668640178,6.45073768563312,1591.4092511704557,0.15221749868403656,30.332322256432832,10.831845327444993,19.16533560712446,2.068762153993844,2.4513454821067997,1.8515569318210807,2.9386714942647068,2.4513454821067997,1.8902494957959677,6.371664567921723,7.280266472167474,13208.607537456794,489.43201367327356
Chateau d'Eau-Lancry,75010,0.22875655488788746,1.017159057200838,17.23162688436196,26.042832604233006,2.668155793844888,71.2890116019221,6.460827280713808,1590.2390981666954,0.15262464821331992,32.27406192333134,11.426919054363841,17.756233070497196,2.4401336863479552,2.3042904583127433,1.9045359862053688,2.881575239790267,2.2978314250796497,1.9717472661547422,6.648960130866067,7.151153931024658,16155.584628777953,539.7088169573041
Faubourg du Temple-Hôpital Saint Louis,75010,0.3394059881585805,0.9148350464105046,14.63111227425597,39.54613611087653,1.039256326738942,59.41460756238453,6.165476102586856,1596.8646811743993,0.1557524362747093,14.645866150608533,9.511671003099016,15.393257608094075,1.8985376624618193,1.923040187813911,1.7870756503192893,2.811607636115519,1.845937690026489,1.9142323086690074,5.608653500595019,6.571777634811015,21122.35929120153,617.3407437627327
Grange Aux Belles-Terrage,75010,0.4153398352465448,0.9119832874861246,17.04790490032382,49.70899299448689,3.260917961111611,47.03008904440149,5.6711827372000325,1562.6230826487429,0.16362373473788633,16.722762185707083,8.235721555196845,13.704280311051516,1.6797060729193687,2.1058897789600812,1.4852818306123057,2.599211189349434,2.1058897789600812,1.9035550988538066,5.270877682491755,6.608656067163321,25215.28606657801,694.1440584409221
Louis Blanc-Aqueduc,75010,0.33357182124636664,0.8678057660622938,18.411017332770207,36.50083087151577,3.8705347465377318,59.628634381946505,6.293521021729083,1613.062451677759,0.15486990827484443,32.82501903414591,10.675421907955846,15.829372888406455,2.0370040845719797,2.0185482030908157,1.7429019426119692,2.927286434703304,2.0185482030908157,1.9084737210281735,5.798454230274765,6.854308358822294,19546.60311265498,615.5730811678175
Porte Saint Denis-Paradis,75010,0.22500062274918164,1.1100131387947598,16.870429130492614,24.789947739332796,1.8676942291294494,73.34235803153777,6.485843812915556,1597.1687625831112,0.15070780935422223,28.209989158501664,11.753815865794008,18.522077336754503,2.2721706654609926,2.0730683552552245,1.9762095605679826,2.9696895063174664,1.9858438129155556,1.9838456934019109,6.3214485812842,6.939379012634933,23781.184694140255,696.8075090714649
Saint Vincent de Paul-Lariboisière,75010,0.26822666253553723,0.8095770643720834,17.630423644530985,30.96780649244795,2.5027147039296143,66.52947880362244,6.267588239072261,1593.033458738823,0.1586198092544167,32.491662000826565,11.778992198226785,16.895420447994745,2.446503001539175,2.0968989816600567,1.930227156434377,2.745310570529478,2.093443672788454,1.9531089682302443,6.4736291396336085,6.791863211548177,17139.231709813474,654.589662665718
Bastille-Popincourt,75011,0.2677475357500811,0.952728799185763,15.85390080071736,29.9087532454963,4.480490129489429,65.61075662501428,6.4461696324932465,1592.8994785783043,0.15305833649716505,35.50210063866953,10.833395755223023,17.037704146504282,2.170174506133702,2.4624195646215865,1.9350016344919445,2.896794857061127,2.448382533539986,1.9350016344919445,6.567595705247233,7.280179025093057,26071.838753369935,713.4123686157062
Belleville-Saint Maur,75011,0.26994336819926396,0.8632391964145275,16.16224276594081,31.78228971413231,2.7147573151753006,65.50295297069238,6.444162867121618,1598.8462622617888,0.15248304552950376,21.1303851504354,10.767379545215892,16.9207372805652,2.036195972347883,2.2951818867422284,1.9886625199845804,2.9596885053720916,2.2951818867422284,2.0078870516233716,6.320040379074692,7.262757443737692,25152.959075493025,656.1114051344987
Léon-Blum Folie-Regnault,75011,0.34880997825392235,0.8565309641999214,17.08226688075909,38.98523377091165,2.697063844143953,58.3177023849444,6.065023973328624,1578.898488980808,0.16589017827038488,17.245768857576135,10.072352881488335,15.104191511856051,1.9250349717448314,2.660224466497257,1.903064901216608,2.6303256925053535,2.660224466497257,1.903064901216608,6.488324339458696,7.193615060219219,21342.81532741629,723.4122591183161
