seloger_quartier,code_postal,rooms,epoque,furnished,housingType,ref,refmaj,refmin
Saint Placide,75006,1,inf1946,meuble,appartement,38.07406100985703,45.66913721029758,26.681827345007584
Ecole Militaire,75007,1,inf1946,meuble,appartement,38.03215937118901,45.61922781160184,26.65243385699419
Gros Caillou,75007,1,inf1946,meuble,appartement,38.096566629891655,45.695894883566105,26.697611568620275
Invalides,75007,1,inf1946,meuble,appartement,38.1,45.7,26.7
Saint Thomas d'Aquin,75007,1,inf1946,meuble,appartement,38.104323251998395,45.70555846685508,26.703088037141708
Seine et Berges,75007,1,inf1946,meuble,appartement,37.23522054358285,44.6732895271909,26.088416710094993
Elysées-Madeleine,75008,1,inf1946,meuble,appartement,38.8,46.6,27.2
Europe,75008,1,inf1946,meuble,appartement,33.64603179694908,40.35616448551509,23.53332216862011
Hoche-Friedland,75008,1,inf1946,meuble,appartement,38.76509462618934,46.55775060903209,27.17520329593742
Mairie,75008,1,inf1946,meuble,appartement,34.26479984597307,41.10565451858819,23.973254595601666
Parc Monceau,75008,1,inf1946,meuble,appartement,33.63521499819169,40.343068076379836,23.525460577283997
Saint Philippe du Roule,75008,1,inf1946,meuble,appartement,37.558565780641395,45.09595469577708,26.31667180545638
Triangle d'Or,75008,1,inf1946,meuble,appartement,38.78138925993045,46.57745237260806,27.186757742642826
Clichy-Trinité,75009,1,inf1946,meuble,appartement,35.478091610636326,42.57411206851332,24.883741321216398
Lafayette-Richer,75009,1,inf1946,meuble,appartement,36.177881352207606,43.42116532179954,25.372590021757723
Lorette-Martyrs,75009,1,inf1946,meuble,appartement,35.506848657386314,42.6083014028925,24.904773306663184
Provence Opéra,75009,1,inf1946,meuble,appartement,38.79963290355762,46.59955503461531,27.199744144903796
Trudaine-Maubeuge,75009,1,inf1946,meuble,appartement,35.41749408921044,42.501446479244805,24.840412397763092
Chateau d'Eau-Lancry,75010,1,inf1946,meuble,appartement,33.78868312962291,40.50750371337732,23.663162148565867
Faubourg du Temple-Hôpital Saint Louis,75010,1,inf1946,meuble,appartement,33.7,40.4,23.6
Grange Aux Belles-Terrage,75010,1,inf1946,meuble,appartement,33.737565285368845,40.44634624259996,23.627460377750698
Louis Blanc-Aqueduc,75010,1,inf1946,meuble,appartement,35.22245145476228,42.2610803887572,24.69985466137607
Porte Saint Denis-Paradis,75010,1,inf1946,meuble,appartement,35.50275359943712,42.60330431932455,24.901927519605984
Saint Vincent de Paul-Lariboisière,75010,1,inf1946,meuble,appartement,35.481000079164644,42.576777874534564,24.88627783495224
Bastille-Popincourt,75011,1,inf1946,meuble,appartement,33.89143131376389,40.64604599859952,23.7367285845116
Belleville-Saint Maur,75011,1,inf1946,meuble,appartement,34.03034698111406,40.825485017424164,23.83608766012772
Léon-Blum Folie-Regnault,75011,1,inf1946,meuble,appartement,33.75428325694042,40.46986005078829,23.638784970268258
Nation-Alexandre Dumas,75011,1,inf1946,meuble,appartement,34.37615544665257,41.2711223858687,24.08317471181417
République-Saint Ambroise,75011,1,inf1946,meuble,appartement,34.11732847304339,40.93405674851648,23.897966344904034
Aligre-Gare de Lyon,75012,1,inf1946,meuble,appartement,33.75056203927133,40.462061320537515,23.635823002088358
Bel-Air Nord,75012,1,inf1946,meuble,appartement,29.419821347668233,35.32367604961429,20.613599053352424
Bel-Air Sud,75012,1,inf1946,meuble,appartement,29.89053843948358,35.8886461273803,20.93356613884884
Bercy,75012,1,inf1946,meuble,appartement,29.41645362521952,35.319722275656275,20.61121642631834
Bois de Vincennes,75012,1,inf1946,meuble,appartement,30.754662885351213,36.925595462421455,21.521170762038828
Jardin de Reuilly,75012,1,inf1946,meuble,appartement,30.95492539507692,37.16585119273756,21.65742435836831
Nation-Picpus,75012,1,inf1946,meuble,appartement,31.873168928377922,38.26780271405351,22.281984308103493
Seine et Berges,75012,1,inf1946,meuble,appartement,32.52479011398853,39.03042429806242,22.78845886519222
Vallée de Fécamp,75012,1,inf1946,meuble,appartement,31.89461058276465,38.29353269931757,22.296335196279962
Bièvres Sud Tolbiac,75013,1,inf1946,meuble,appartement,35.296704573062385,42.39588071632799,24.697734393980394
Buttes Aux Cailles-Glacière,75013,1,inf1946,meuble,appartement,35.30284262810787,42.40153878558853,24.7046372316365
Croulebarbe,75013,1,inf1946,meuble,appartement,35.50677101208669,42.60814808982813,24.90470539547453
Dunois-Bibliothèque-Jeanne-d'Arc,75013,1,inf1946,meuble,appartement,31.14618283918804,37.355979199015806,21.832188039434087
Nationale-Deux Moulins,75013,1,inf1946,meuble,appartement,31.14965341055444,37.36018730187998,21.83460287342929
Olympiades-Choisy,75013,1,inf1946,meuble,appartement,32.84515920765033,39.41912189500397,23.00499088147285
Patay-Masséna,75013,1,inf1946,meuble,appartement,31.1,37.3,21.8
Salpêtrière-Austerlitz,75013,1,inf1946,meuble,appartement,34.399256381675116,41.299056919323135,24.099522735059978
Didot-Porte de Vanves,75014,1,inf1946,meuble,appartement,35.12436951895547,42.18920118541435,24.57712201926716
Jean Moulin-Porte d'Orléans,75014,1,inf1946,meuble,appartement,34.39344888267152,41.29150883944493,24.095269408915822
Montsouris Dareau,75014,1,inf1946,meuble,appartement,33.72640950194065,40.43272719357878,23.618602038541503
Mouton Duvernet,75014,1,inf1946,meuble,appartement,34.65925971077425,41.60902935350946,24.284514107447187
Pernety,75014,1,inf1946,meuble,appartement,35.02514972009534,42.06621593032049,24.51355040475761
Raspail-Montparnasse,75014,1,inf1946,meuble,appartement,35.46107768460954,42.557854175935894,24.865911828022814
Alleray Procession,75015,1,inf1946,meuble,appartement,32.71482111350651,39.29383465893632,22.896300795361796
Cambronne-Garibaldi,75015,1,inf1946,meuble,appartement,34.38652599816661,41.283756004488836,24.090664728641325
Citroën-Boucicaut,75015,1,inf1946,meuble,appartement,33.5,40.2,23.5
Dupleix-Motte Picquet,75015,1,inf1946,meuble,appartement,33.51253856416752,40.21499695715882,23.508716811434514
Emeriau-Zola,75015,1,inf1946,meuble,appartement,33.5,40.2,23.5
Georges Brassens,75015,1,inf1946,meuble,appartement,32.30743113683956,38.80891630888922,22.60520337876505
Pasteur Montparnasse,75015,1,inf1946,meuble,appartement,34.40143321293027,41.301751704692556,24.100955475286852
Saint Lambert,75015,1,inf1946,meuble,appartement,32.30405114173479,38.804726332023925,22.6030383563011
Seine et Berges,75015,1,inf1946,meuble,appartement,33.55026241541638,40.25778556362083,23.526748971393577
Vaugirard-Parc des Expositions,75015,1,inf1946,meuble,appartement,32.95092449725803,39.55941191346771,23.08819337294353
Violet Commerce,75015,1,inf1946,meuble,appartement,33.48096548471854,40.1778689579608,23.485610274855162
Auteuil Nord,75016,1,inf1946,meuble,appartement,33.50048357499075,40.200483574990756,23.5
Auteuil Sud,75016,1,inf1946,meuble,appartement,33.5,40.2,23.5
Bois de Boulogne,75016,1,inf1946,meuble,appartement,33.56152574736652,40.261725036882325,23.500597868547448
Chaillot,75016,1,inf1946,meuble,appartement,33.629980442027716,40.33638002817699,23.52138980716314
Muette Nord,75016,1,inf1946,meuble,appartement,33.6,40.3,23.5
Muette Sud,75016,1,inf1946,meuble,appartement,33.59937682111986,40.29937682111986,23.5
Porte Dauphine,75016,1,inf1946,meuble,appartement,33.6,40.3,23.5
Batignolles-Cardinet,75017,1,inf1946,meuble,appartement,34.30186264792093,41.17524986322597,24.029806794121683
Champerret-Berthier,75017,1,inf1946,meuble,appartement,34.399197316006315,41.2989966450079,24.099397987004743
Clichy-Batignolles,75017,1,inf1946,meuble,appartement,34.39813333908011,41.297600007388716,24.09866667077151
Courcelles-Wagram,75017,1,inf1946,meuble,appartement,34.42390776272173,41.328745709420744,24.11679182805988
Epinettes-Bessières,75017,1,inf1946,meuble,appartement,33.70619281492429,40.40802846446429,23.60442869212602
La Fourche-Guy Môquet,75017,1,inf1946,meuble,appartement,33.68655545997726,40.38431807229693,23.590289829828677
Legendre-Lévis,75017,1,inf1946,meuble,appartement,34.39897412921553,41.29871766151942,24.099230596911653
Pereire-Malesherbes,75017,1,inf1946,meuble,appartement,34.4,41.3,24.1
Ternes-Maillot,75017,1,inf1946,meuble,appartement,34.42055263130249,41.32453776360847,24.114261447957222
Amiraux-Simplon-Poissonniers,75018,1,inf1946,meuble,appartement,33.089263299935205,39.68743665282168,23.158955779906368
Charles-Hermite-Evangile,75018,1,inf1946,meuble,appartement,30.963644854963903,37.137115964834635,21.70439116259698
Clignancourt-Jules Joffrin,75018,1,inf1946,meuble,appartement,31.9,38.3,22.3
Goutte d'Or-Château Rouge,75018,1,inf1946,meuble,appartement,33.013708883537774,39.599701130611926,23.104345304777283
Grandes Carrières-Clichy,75018,1,inf1946,meuble,appartement,31.9000970862669,38.30011326731138,22.300070117859427
La Chapelle-Marx Dormoy,75018,1,inf1946,meuble,appartement,31.632187974267925,37.934775424032374,22.168681436898417
Montmartre,75018,1,inf1946,meuble,appartement,31.917211566639622,38.32055826015288,22.312430575906397
Moskowa-Porte Montmartre-Porte de Clignancourt,75018,1,inf1946,meuble,appartement,31.9007179820051,38.3007763970089,22.30055937500172
Bas Belleville,75019,1,inf1946,meuble,appartement,29.595029752646138,35.531314357789604,20.736067269288004
Bassin de la Villette,75019,1,inf1946,meuble,appartement,31.101519444528883,37.3018118392314,21.801052116966964
Buttes Chaumont,75019,1,inf1946,meuble,appartement,29.814039859729295,35.787316775121774,20.892082523717274
Danube-Porte des Lilas,75019,1,inf1946,meuble,appartement,31.055784247213523,37.24744625669554,21.768922683039634
Flandre-Aubervilliers,75019,1,inf1946,meuble,appartement,31.13421579573118,37.34121436970646,21.82410647184087
Manin-Jaurès,75019,1,inf1946,meuble,appartement,30.7666368070409,36.90780800828341,21.564684804970046
Place des Fêtes,75019,1,inf1946,meuble,appartement,31.124424691500174,37.3291217475579,21.816909401807813
Pont de Flandre,75019,1,inf1946,meuble,appartement,31.059381858873113,37.25146813692944,21.771514824640754
Secrétan,75019,1,inf1946,meuble,appartement,29.930499267578305,35.924709440409146,20.973962081212115
Amandiers,75020,1,inf1946,meuble,appartement,29.48222732636418,35.39850672182251,20.657531450152508
Belleville,75020,1,inf1946,meuble,appartement,33.69040261847232,40.38861710007595,23.593304159248824
Gambetta,75020,1,inf1946,meuble,appartement,30.536656799331908,36.637260035877226,21.402331625245647
Plaine,75020,1,inf1946,meuble,appartement,31.100798555512334,37.30152697128357,21.80041681269144
Père Lachaise-Réunion,75020,1,inf1946,meuble,appartement,30.146257220092387,36.17866553697531,21.12625782480084
Saint Blaise,75020,1,inf1946,meuble,appartement,30.95830397179956,37.13326343169542,21.6999881138757
Télégraphe-Pelleport Saint Fargeau,75020,1,inf1946,meuble,appartement,31.496482659696085,37.77635394660961,22.071381176670762
Bourse du Travail,93000,1,inf1946,meuble,appartement,21.7,26.0,15.2
Edouard Vaillant,93000,1,inf1946,meuble,appartement,21.698771014959565,25.999292670390474,15.199427505136319
Les Vignes,93000,1,inf1946,meuble,appartement,21.715608868961418,26.01892330474685,15.210935508290362
Prefecture,93000,1,inf1946,meuble,appartement,21.700310213390193,26.000394817042068,15.200225609738323
Bas Montreuil-Bobillot,93100,1,inf1946,meuble,appartement,26.301014387571616,31.565517470622673,18.415010276836867
Bas Montreuil-Etienne Marcel-Chanzy,93100,1,inf1946,meuble,appartement,27.394936722553314,32.89385173452903,19.196383373252367
Bas Montreuil-République,93100,1,inf1946,meuble,appartement,26.026812492616987,31.232120112857206,18.218949666336705
Bel Air-Grands Pêchers-Renan,93100,1,inf1946,meuble,appartement,27.390504473637844,32.88846971798881,19.193217481169892
Branly-Boissière,93100,1,inf1946,meuble,appartement,27.389843068676527,32.887667559259455,19.192746024921195
Centre Ville-Jean Moulin-Beaumont,93100,1,inf1946,meuble,appartement,26.541784474462453,31.857881147561557,18.586988910330327
La Noue-Clos Français,93100,1,inf1946,meuble,appartement,27.242109816731706,32.709489085488414,19.088434177122565
Ramenas-Léo Lagrange,93100,1,inf1946,meuble,appartement,27.3054399410426,32.78612431580542,19.13340434528412
Ruffins-Théophile Sueur-Montreau-Le Morillon,93100,1,inf1946,meuble,appartement,27.364719909442147,32.85715989003689,19.174799935315818
Signac-Murs à Pêches,93100,1,inf1946,meuble,appartement,26.269497541716195,31.527253820705592,18.392505049847493
Solidarité Carnot,93100,1,inf1946,meuble,appartement,26.0,31.2,18.2
Anatole France,93120,1,inf1946,meuble,appartement,21.211003484316368,25.416505226474555,14.811003484316371
Balzac-Moulin Neuf,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
Braque,93120,1,inf1946,meuble,appartement,21.354547696838598,25.593395910434563,14.916122062015265
Centre Ville-Convention,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
Centre Ville-Mairie,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
La Gare,93120,1,inf1946,meuble,appartement,21.204755015737447,25.40713252360617,14.804755015737447
La Tour,93120,1,inf1946,meuble,appartement,21.206507415497907,25.408134269372383,14.804880561623433
Parc Départemental,93120,1,inf1946,meuble,appartement,21.1904142546554,25.389456159651516,14.794249032323819
Quatre Routes,93120,1,inf1946,meuble,appartement,21.227613801638498,25.433361246191375,14.819993988542512
Rateau,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
Verlaine-Paul Verlaine,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
Verlaine-Routes,93120,1,inf1946,meuble,appartement,21.256703371237524,25.470879214046903,14.842527528428144
Waldeck Rochet-Quinet Cachin,93120,1,inf1946,meuble,appartement,21.2,25.4,14.8
Waldeck Rochet-Zone Industrielle,93120,1,inf1946,meuble,appartement,21.200585732324882,25.40087859848732,14.800585732324882
Boissière,93130,1,inf1946,meuble,appartement,22.863014654703953,27.474728738545164,16.04322141119319
Centre Ville-Gare,93130,1,inf1946,meuble,appartement,22.8,27.4,16.0
Centre Ville-Mairie,93130,1,inf1946,meuble,appartement,22.8,27.4,16.0
Haut Goulet-Jules Auffret,93130,1,inf1946,meuble,appartement,22.67705939525388,27.24911834872067,15.91058865109373
Langevin,93130,1,inf1946,meuble,appartement,22.751594702911373,27.34059349902759,15.964796147571906
Londeau,93130,1,inf1946,meuble,appartement,22.8,27.4,16.0
Léo Lagrange,93130,1,inf1946,meuble,appartement,22.8,27.4,16.0
Merlan,93130,1,inf1946,meuble,appartement,22.774778278186467,27.36973393382376,15.982344794730528
Petit Noisy,93130,1,inf1946,meuble,appartement,22.771173539780037,27.36472905756765,15.979566781532878
Zone Industrielle,93130,1,inf1946,meuble,appartement,22.79001547849421,27.38769623168589,15.99273852981397
La Mare à la Veuve-La Remise à Jorelle,93140,1,inf1946,meuble,appartement,19.8,23.8,13.9
Le Mainguy-Le Moulin à Vent,93140,1,inf1946,meuble,appartement,19.885367378749535,23.90229321046627,13.959701798612235
Le Saule Blanc,93140,1,inf1946,meuble,appartement,19.8,23.8,13.9
Noue Caillet-Terre Saint Blaise-Les Mérisiers,93140,1,inf1946,meuble,appartement,19.804647147707577,23.80538090787193,13.903179627378867
Centre Sud-Jules Ferry,93170,1,inf1946,meuble,appartement,27.404971750081852,32.90591235144869,19.203493662219678
Centre Sud-La Capsulerie,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Centre-Jean Moulin,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Centre-Sadi Carnot,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Coutures-Victor Hugo,93170,1,inf1946,meuble,appartement,27.39999486723516,32.89999376735698,19.199996333739403
Coutures-Édouard Vaillant,93170,1,inf1946,meuble,appartement,27.45211942751055,32.96159975676422,19.236449030431263
Dhuys-François Mitterand,93170,1,inf1946,meuble,appartement,27.390051007495007,32.887919080529656,19.19289357678215
Dhuys-Gallieni,93170,1,inf1946,meuble,appartement,27.44474956278385,32.9532156962835,19.231445638712973
Dhuys-Hoche,93170,1,inf1946,meuble,appartement,27.450099842714874,32.95957819133661,19.23520529488072
Dhuys-René Alazard,93170,1,inf1946,meuble,appartement,27.41173113851938,32.91370710126057,19.2081311449694
La Noue ,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Malassis-Pierre et Marie Curie,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Malassis-Stalingrad,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Plateau-Anatole France,93170,1,inf1946,meuble,appartement,27.260093019667654,32.73128864136394,19.10124213153011
Plateau-Gambetta,93170,1,inf1946,meuble,appartement,27.386866916373677,32.88405268416804,19.1906192259812
Plateau-Girardot,93170,1,inf1946,meuble,appartement,27.4,32.9,19.2
Allende,93200,1,inf1946,meuble,appartement,21.33786475398213,25.62502505658427,14.956092679593208
Centre Ville-Basilique,93200,1,inf1946,meuble,appartement,22.795128774637856,27.394084940631682,15.996520553312754
Cosmonautes,93200,1,inf1946,meuble,appartement,22.78043621324115,27.375545266551434,15.985327159930861
Delaunay Belleville,93200,1,inf1946,meuble,appartement,21.413278906271696,25.713564104606096,15.008915854815385
Floréal-La Saussaie-La Courtille,93200,1,inf1946,meuble,appartement,21.527853670993313,25.855937645135512,15.092010809638856
Franc Moisin-Bel Air,93200,1,inf1946,meuble,appartement,22.79596740629579,27.39498797985977,15.99700427671188
Mutuelle-Barbusse-Saint Rémy- Joliot Curie,93200,1,inf1946,meuble,appartement,22.385318276830212,26.895211523086513,15.702552384671405
Pleyel,93200,1,inf1946,meuble,appartement,22.78465366374319,27.3808983624017,15.988104729815088
Péri-Langevin-Stalingrad-Politzer,93200,1,inf1946,meuble,appartement,22.584602519979697,27.1384459171182,15.846144657128354
République-Gare-Porte de Paris,93200,1,inf1946,meuble,appartement,22.020194589923655,26.453075285322434,15.442992103371054
Sémard-Delaune-Guynemer,93200,1,inf1946,meuble,appartement,21.347095562452587,25.632825154802347,14.959277373576054
La Plaine-Stade de France,93210,1,inf1946,meuble,appartement,22.833230974731535,27.439455182692363,16.023005935746184
Bas Pays,93230,1,inf1946,meuble,appartement,20.726935557756747,24.853169838410736,14.489731784135634
Cachin,93230,1,inf1946,meuble,appartement,20.601298276280303,24.701593339071284,14.400944200931132
Carnot,93230,1,inf1946,meuble,appartement,20.60190834102624,24.702301234760345,14.401347064247227
Centre,93230,1,inf1946,meuble,appartement,20.61565918175338,24.718849015073513,14.411019424196823
Cité,93230,1,inf1946,meuble,appartement,20.610129699590193,24.712193156914118,14.407128307119024
Communes,93230,1,inf1946,meuble,appartement,20.785938221528006,24.92470276138027,14.53173365061627
Grands Champs,93230,1,inf1946,meuble,appartement,20.760774646044588,24.896249938821047,14.515862615798756
Ormes,93230,1,inf1946,meuble,appartement,20.658925758037856,24.771055525704327,14.4415926466854
Parcs,93230,1,inf1946,meuble,appartement,20.619569475345195,24.723682088194124,14.413897350521529
ZAC,93230,1,inf1946,meuble,appartement,20.6,24.7,14.4
L'Avenir,93240,1,inf1946,meuble,appartement,19.80018013489373,23.800205868449975,13.900115801003112
L'Avenir-La Cerisaie,93240,1,inf1946,meuble,appartement,19.845160645675396,23.853624518071996,13.9310441952343
La Cité-Jardin,93240,1,inf1946,meuble,appartement,19.8,23.8,13.9
Le Bois Moussay-Les Parouzets,93240,1,inf1946,meuble,appartement,19.797332198486863,23.796665248108578,13.897999148865146
Le Clos Saint Lazare,93240,1,inf1946,meuble,appartement,19.799569034629922,23.79940558988963,13.89962107257467
Le Globe-Allende,93240,1,inf1946,meuble,appartement,19.820682789016107,23.824560811956626,13.914219417448574
Le Maroc,93240,1,inf1946,meuble,appartement,19.79166760528815,23.78958450661019,13.893750703966113
Le Vieux Stains-Bordes,93240,1,inf1946,meuble,appartement,19.8,23.8,13.9
Prêtresse,93240,1,inf1946,meuble,appartement,19.8,23.8,13.9
Convention,93260,1,inf1946,meuble,appartement,26.063653707066063,31.277293787151645,18.245466933618616
Croix de l'Epinette,93260,1,inf1946,meuble,appartement,25.834986317714627,31.001385869443194,18.08389271058588
Jalancloud,93260,1,inf1946,meuble,appartement,26.00001866979905,31.200022670470283,18.200013335570752
L'Avenir,93260,1,inf1946,meuble,appartement,25.969427643835523,31.163330476655158,18.1786166547374
L'Eglise,93260,1,inf1946,meuble,appartement,26.0,31.2,18.2
La Mairie,93260,1,inf1946,meuble,appartement,26.0,31.2,18.2
Le Fort,93260,1,inf1946,meuble,appartement,25.04524254058485,30.05122497102507,17.528603700732646
Les Bruyeres,93260,1,inf1946,meuble,appartement,26.267250329385334,31.51967721145787,18.388658763655222
Les Sentes,93260,1,inf1946,meuble,appartement,25.97473559442287,31.169589141434937,18.182221344223503
Villegranges,93260,1,inf1946,meuble,appartement,26.327915888352816,31.592665252464386,18.43167871473015
Centre Ville,93300,1,inf1946,meuble,appartement,21.399158926645534,25.6987383899683,14.999158926645533
Cochennec Péri,93300,1,inf1946,meuble,appartement,21.407820941753062,25.70936362468078,15.00545315380425
Condorcet,93300,1,inf1946,meuble,appartement,21.401233079774105,25.701479695728924,15.000863155841873
Emile Dubois,93300,1,inf1946,meuble,appartement,21.402604455393696,25.703125346472437,15.001823118775588
Firmin Genier,93300,1,inf1946,meuble,appartement,21.4,25.7,15.0
Landy,93300,1,inf1946,meuble,appartement,21.489510973269667,25.80867628308689,15.063920796452058
Paul Bert,93300,1,inf1946,meuble,appartement,21.4100833701021,25.712100044122515,15.007058359071468
Plaine Marcreux Pressensé,93300,1,inf1946,meuble,appartement,21.415625752359364,25.718745336670953,15.010996522025586
Robespierre,93300,1,inf1946,meuble,appartement,21.39048188669164,25.685722830037456,14.990481886691638
Sadi Carnot,93300,1,inf1946,meuble,appartement,21.4,25.7,15.0
Vallès La Frette,93300,1,inf1946,meuble,appartement,21.4,25.7,15.0
Villette Quatre Chemin,93300,1,inf1946,meuble,appartement,22.35770151354304,26.845330655603878,15.671368849642072
Anatole France,93310,1,inf1946,meuble,appartement,27.402368725217173,32.90281686242042,19.201664509612066
Arpents,93310,1,inf1946,meuble,appartement,27.60561682137374,33.144517301093096,19.344487496100466
Belvedere,93310,1,inf1946,meuble,appartement,28.047386586927047,33.66836364333731,19.654227310298303
Centre,93310,1,inf1946,meuble,appartement,27.411172036741302,32.91328566531398,19.207850620412806
Gabriel Peri,93310,1,inf1946,meuble,appartement,27.4,32.9,19.2
Severine,93310,1,inf1946,meuble,appartement,27.32478143685283,32.8086631733213,19.14627245489488
Stalingrad,93310,1,inf1946,meuble,appartement,27.4,32.9,19.2
Butte Pinson,93380,1,inf1946,meuble,appartement,19.0,22.8,13.3
Centre Ville,93380,1,inf1946,meuble,appartement,19.008679977275172,22.81025815496157,13.305918166323982
Gare,93380,1,inf1946,meuble,appartement,19.010049582061892,22.81256197757737,13.307537186546423
Joncherolles-Fauvettes,93380,1,inf1946,meuble,appartement,19.05311690197694,22.863364781947944,13.336806330959472
Maroc,93380,1,inf1946,meuble,appartement,19.017041086459848,22.82130135807481,13.312780814844885
Nord,93380,1,inf1946,meuble,appartement,19.000043289634778,22.800054112043473,13.300032467226085
Potier,93380,1,inf1946,meuble,appartement,19.0,22.8,13.3
Sud,93380,1,inf1946,meuble,appartement,19.05488037913301,22.866582843316884,13.339142653750379
Debain-Michelet-Bauer,93400,1,inf1946,meuble,appartement,24.869513527810053,29.863862879635793,17.380222731390088
Dock Saint Ouen,93400,1,inf1946,meuble,appartement,24.860060639976687,29.85207276797203,17.37261301026973
Garibaldi-Ottino-Porte de Saint Ouen,93400,1,inf1946,meuble,appartement,24.926150098702028,29.931378512994392,17.41830613939011
Hugo-Payret-Zola,93400,1,inf1946,meuble,appartement,25.271917124539154,30.34376475087058,17.662032519561677
Marie-Godillot-Landy,93400,1,inf1946,meuble,appartement,24.899513265617895,29.899420554307014,17.399675510411928
Rosiers-Les Puces,93400,1,inf1946,meuble,appartement,25.056886080948733,30.088263297138475,17.50982025666411
Vieux Saint Ouen,93400,1,inf1946,meuble,appartement,24.802620845595186,29.783494436162687,17.333924565590767
Bernard Lama,93430,1,inf1946,meuble,appartement,21.16185316576739,25.354917377725098,14.773990794841405
Jules Ferry,93430,1,inf1946,meuble,appartement,21.20174431934973,25.402093183219673,14.801395455479783
Marcel Sembat,93430,1,inf1946,meuble,appartement,21.2009123223184,25.401097000903963,14.800744249646991
Maurice Grandcoing,93430,1,inf1946,meuble,appartement,21.2,25.4,14.8
Paul Langevin,93430,1,inf1946,meuble,appartement,21.20360553098513,25.40432663718215,14.802884424788102
Centre,93450,1,inf1946,meuble,appartement,21.4,25.7,15.0
Nord,93450,1,inf1946,meuble,appartement,21.40130544286499,25.701305442864992,15.00087029524333
Sud,93450,1,inf1946,meuble,appartement,21.4,25.7,15.0
Courtillères,93500,1,inf1946,meuble,appartement,27.144787957573005,32.593101704882116,19.021233642332028
Haut Pantin-Charles Auray,93500,1,inf1946,meuble,appartement,27.31072976285512,32.79232018125534,19.136965489823975
Mairie-Ourcq,93500,1,inf1946,meuble,appartement,27.639073230612155,33.18430330126851,19.367997405295025
Ourcq-Hoche,93500,1,inf1946,meuble,appartement,27.4,32.9,19.2
Petit Pantin-Haut Pantin,93500,1,inf1946,meuble,appartement,27.384450845679243,32.881118884039076,19.18889346119946
