conseil_de_quartier,rooms,epoque,furnished,housingType,ref,refmaj,refmin
GEORGES BRASSENS,1,inf1946,meuble,appartement,32.30006131357789,38.800073576293464,22.600042919504524
MONTMARTRE,1,inf1946,meuble,appartement,31.900072284407383,38.30008633970882,22.300052205405336
ROSA PARKS - MACDONALD,1,inf1946,meuble,appartement,31.051716231666532,37.24228626618266,21.766144665120866
REUNION - PERE LACHAISE,1,inf1946,meuble,appartement,30.132062086543122,36.16125146767513,21.116748829478333
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,1,inf1946,meuble,appartement,33.69991187075134,40.39989547461206,23.59993851447768
SAINT BLAISE,1,inf1946,meuble,appartement,31.097886767220412,37.29748287446875,21.798512907539425
PEREIRE - MALESHERBES,1,inf1946,meuble,appartement,34.4,41.3,24.1
REPUBLIQUE - SAINT-AMBROISE,1,inf1946,meuble,appartement,34.087902948863146,40.898723643867314,23.877073098954412
PERNETY,1,inf1946,meuble,appartement,35.20951027735501,42.28940098504392,24.639674215821643
EUROPE,1,inf1946,meuble,appartement,33.60066037570202,40.30080039973353,23.500471920818544
GROS CAILLOU,1,inf1946,meuble,appartement,38.09989316344133,45.69987218425404,26.69992502222136
GRANDES CARRIERES - CLICHY,1,inf1946,meuble,appartement,31.900058270831355,38.3000688373271,22.300042056172327
MAIRIE,1,inf1946,meuble,appartement,34.1742544486899,40.995731721551294,23.908604497206344
SEINE,1,inf1946,meuble,appartement,38.58780660051113,46.33883966071928,27.05309622482341
MONNAIE,1,inf1946,meuble,appartement,38.799970015504094,46.599963096005034,27.199979241502835
BASTILLE - POPINCOURT,1,inf1946,meuble,appartement,33.89132209819478,40.64598295117424,23.73665834972258
BELLEVILLE,1,inf1946,meuble,appartement,33.40986555078551,40.05407570820919,23.399133194310135
AMANDIERS - MENILMONTANT,1,inf1946,meuble,appartement,29.401188445281175,35.30141083545488,20.60082936188307
BERCY,1,inf1946,meuble,appartement,29.400285697620603,35.300341565612605,20.600195762011285
ECOLE MILITAIRE,1,inf1946,meuble,appartement,38.0998997359512,45.699880674432556,26.69992964524869
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,1,inf1946,meuble,appartement,31.895800741346303,38.294958494817614,22.297062115474382
BATIGNOLLES,1,inf1946,meuble,appartement,34.27632711673964,41.14099551585641,24.011661373311625
MONCEAU,1,inf1946,meuble,appartement,33.826071822957395,40.57389472369288,23.66085881221418
ANVERS - MONTHOLON,1,inf1946,meuble,appartement,35.49995355783651,42.599944527415836,24.89996645843748
MOUTON - DUVERNET,1,inf1946,meuble,appartement,34.67762771316194,41.63125513389712,24.297186433798093
VAL DE GRACE,1,inf1946,meuble,appartement,37.49842385283494,44.99811880176641,26.298881470766446
OPERA - CHAUSSEE D'ANTIN,1,inf1946,meuble,maison,38.72197145768431,46.50541964873781,27.145616545499863
OLYMPIADES - CHOISY,1,inf1946,meuble,maison,31.4705960850903,37.75000953189536,22.05588777303854
SORBONNE,1,inf1946,meuble,maison,37.500003373892255,45.00000415616347,26.300002334053907
LA CHAPELLE - MARX DORMOY,1,inf1946,meuble,maison,31.59264420402862,37.88738397878792,22.14106187677362
ELYSEES - MADELEINE,1,inf1946,meuble,maison,38.538572224272706,46.28327019479194,27.01398408265558
DANUBE,1,inf1946,meuble,maison,31.097940540235907,37.297550912712964,21.798552812057665
FLANDRE - AUBERVILLIERS,1,inf1946,meuble,maison,31.100027016068935,37.300032541192884,21.800019033158424
SAINT - VICTOR,1,inf1946,meuble,maison,37.488666451735014,44.98647351803428,26.291956530448353
CROULEBARBE,1,inf1946,meuble,maison,35.499912929068316,42.59989819509554,24.899935030027464
EPINETTES - BESSIERES,1,inf1946,meuble,maison,33.69147322552126,40.38983128668502,23.593992835922702
SAINT - PLACIDE,1,inf1946,meuble,maison,38.09998704853472,45.69998459825751,26.69999089897035
SAINT - THOMAS D'AQUIN,1,inf1946,meuble,maison,38.10003964539539,45.700050972651226,26.700028318139566
GAMBETTA,1,inf1946,meuble,maison,30.415385461776832,36.494537926723766,21.31675096162164
SAINT - LAMBERT,1,inf1946,meuble,maison,32.48831842622104,39.02418843141054,22.734513418436798
BOIS DE BOULOGNE,1,inf1946,meuble,maison,33.56015808046213,40.26015808321658,23.50000000826337
NATION - PICPUS,1,inf1946,meuble,maison,31.899973355906273,38.299968027080524,22.299982424455823
PLAINE LAGNY,1,inf1946,meuble,maison,31.099770366804528,37.2997265316896,21.799837583075224
DIDOT - PORTE DE VANVES,1,inf1946,meuble,maison,35.29997812979199,42.399973478571944,24.699985106622062
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,inf1946,meuble,maison,35.299975421767314,42.399968116876884,24.699984552880345
CHAILLOT,1,inf1946,meuble,maison,33.60011449939364,40.300138576072726,23.50008166564456
MARAIS - ARCHIVES,1,inf1946,meuble,maison,37.82520542009324,45.400252824730146,26.525142213910705
AMIRAUX - SIMPLON - POISSONNIERS,1,inf1946,meuble,maison,32.8581846219112,39.417842521270096,22.992048585353388
PIGALLE - MARTYRS,1,inf1946,meuble,maison,35.69954004167349,42.84186687303172,25.039073139733148
CITROEN - BOUCICAUT,1,inf1946,meuble,maison,33.5,40.2,23.5
SAINT - GERMAIN DES PRES,1,inf1946,meuble,maison,38.79988174564761,46.59984795868979,27.19991553260544
BEL - AIR NORD,1,inf1946,meuble,maison,29.400087326474225,35.300104033548465,20.600060216077914
AUTEUIL SUD,1,inf1946,meuble,maison,33.5,40.2,23.5
PONT DE FLANDRE,1,inf1946,meuble,maison,31.098495032426317,37.298210308831294,21.798942455218494
SAINT - PHILIPPE DU ROULE,1,inf1946,meuble,maison,38.0775180282576,45.72468530346593,26.685926289337132
TERNES - MAILLOT,1,inf1946,meuble,maison,34.399987902923684,41.29998476365955,24.099990812197714
TRIANGLE D'OR,1,inf1946,meuble,maison,38.799941546217234,46.59992737442054,27.1999583409766
MARTIN LUTHER KING,1,inf1946,meuble,maison,34.274121515692734,41.13815623446208,24.01008679692338
BAS - BELLEVILLE,1,inf1946,meuble,maison,29.40030192150721,35.30035809295041,20.600210642912014
BLANCHE - TRINITE,1,inf1946,meuble,maison,35.603879236448535,42.725915299227765,24.972397374246015
RENNES,1,inf1946,meuble,maison,38.22170706391966,45.856480510753855,26.78693361708547
MANIN - JAURES,1,inf1946,meuble,maison,30.955588836583253,37.129948780666965,21.698101641416518
FAUBOURG MONTMARTRE,1,inf1946,meuble,maison,36.092718180545575,43.318446204996214,25.31310662929652
CLIGNANCOURT - JULES JOFFRIN,1,inf1946,meuble,maison,31.9,38.3,22.3
GOUTTE D'OR - CHATEAU ROUGE,1,inf1946,meuble,maison,33.08137445231341,39.67827125728933,23.153214882226358
LEGENDRE - LEVIS,1,inf1946,meuble,maison,34.39995615071408,41.2999451883926,24.099967113035564
CHAMPERRET - BERTHIER,1,inf1946,meuble,maison,34.4,41.29999999999999,24.1
HOCHE - FRIEDLAND,1,inf1946,meuble,maison,38.79967211397971,46.599604080848835,27.199768023858976
DAUPHINE,1,inf1946,meuble,maison,33.6,40.3,23.5
SECRETAN,1,inf1946,meuble,maison,29.8782924075135,35.8626973273236,20.93761784660291
JARDIN DES PLANTES,1,inf1946,meuble,maison,34.40109789256337,41.30131052155101,24.100779028343645
LA FOURCHE - GUY MOQUET,1,inf1946,meuble,maison,33.69997525769717,40.39997331947392,23.599981984859472
CHARLES HERMITE - EVANGILE,1,inf1946,meuble,maison,31.748659024247555,38.073360878407044,22.249022771795268
JEAN MOULIN - PORTE D'ORLEANS,1,inf1946,meuble,maison,34.40011870664374,41.30012767699674,24.100066081086617
INVALIDES,1,inf1946,meuble,maison,38.100008371055765,45.700010762785986,26.700005979325542
LOUIS BLANC - AQUEDUC,1,inf1946,meuble,maison,35.161906488171844,42.18677633562155,24.655823091535627
NOTRE - DAME DES CHAMPS,1,inf1946,meuble,maison,38.29316355172371,45.94836459064675,26.837976717580908
ITALIE - PEUPLIERS - RUNGIS,1,inf1946,meuble,maison,35.2997947300518,42.399750467120406,24.699858289030974
JARDIN DE REUILLY,1,inf1946,meuble,maison,30.917333587170084,37.120799989783805,21.631787238048034
SAINT - VINCENT DE PAUL - LARIBOISIERE,1,inf1946,meuble,maison,35.499976292248434,42.599971024100945,24.899982877734974
PLATEAU,1,inf1946,meuble,maison,29.644537097490883,35.58769100214199,20.77261416529124
MONTPARNASSE - RASPAIL,1,inf1946,meuble,maison,35.48349076359818,42.58349444189983,24.883484602592922
MUETTE SUD,1,inf1946,meuble,maison,33.5999810490846,40.2999810490846,23.5
PASTEUR - MONTPARNASSE,1,inf1946,meuble,maison,34.40006136734465,41.30007366207752,24.100042395180754
GRANGE AUX BELLES - TERRAGE,1,inf1946,meuble,maison,33.70008316046358,40.400102511917176,23.600060931250916
BIBLIOTHEQUE - SEINE,1,inf1946,meuble,maison,31.1002039542521,37.30024751788127,21.80014207478178
SENTIER - ARTS ET METIERS,1,inf1946,meuble,maison,37.49992158777355,44.99990544273124,26.299944648844463
CHATEAU D'EAU - LANCRY,1,inf1946,meuble,maison,33.700418236490385,40.40051049274604,23.600301374500845
SALPETRIERE - AUSTERLITZ,1,inf1946,meuble,maison,34.032597378595895,40.85466799745576,23.843918542133935
NATIONALE - DEUX MOULINS,1,inf1946,meuble,maison,32.705466366886355,39.249494839476014,22.908536404707917
NATION - ALEXANDRE DUMAS,1,inf1946,meuble,maison,34.39977508919053,41.29971849593919,24.099839405592018
BELLEVILLE - SAINT-MAUR,1,inf1946,meuble,maison,34.037252888662415,40.83361294127337,23.840895267876768
TEMPLE - ENFANTS ROUGES,1,inf1946,meuble,maison,37.49995014500722,44.99993990886929,26.29996458969816
MARAIS - PLACE DES VOSGES,1,inf1946,meuble,maison,37.77039378692248,45.33279530769691,26.4871941018036
MONTSOURIS - DAREAU,1,inf1946,meuble,maison,33.72761508236794,40.43550285825961,23.619724351716837
DUPLEIX - LA MOTTE PICQUET,1,inf1946,meuble,maison,33.500025223647214,40.20003022994783,23.500016850100383
LEON BLUM - FOLIE-REGNAULT,1,inf1946,meuble,maison,33.75040138215987,40.46480843407694,23.636002096759427
BASSIN DE LA VILLETTE,1,inf1946,meuble,maison,31.100008855085623,37.300010557986695,21.800006130443894
COURCELLES - WAGRAM,1,inf1946,meuble,maison,34.40006341798107,41.30007588875995,24.100044179769412
VIOLET - COMMERCE,1,inf1946,meuble,maison,33.49978104707433,40.19974690618073,23.499832258414724
PLACE DES FETES,1,inf1946,meuble,maison,31.100049644027184,37.30005919095548,21.800034368941894
ODEON,1,inf1946,meuble,maison,38.7999405348376,46.599926812107825,27.199958831810648
MASSENA - JEANNE D'ARC,1,inf1946,meuble,maison,31.1,37.3,21.8
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,1,inf1946,meuble,maison,30.93412679465316,37.104787899800336,21.682903708513912
ALIGRE - GARE DE LYON,1,inf1946,meuble,maison,33.69993825061593,40.399928680029255,23.599956822175205
ALLERAY - PROCESSION,1,inf1946,meuble,maison,32.76303748727288,39.351235368811835,22.930740664964446
AUTEUIL NORD,1,inf1946,meuble,maison,33.50001425327602,40.200014253276024,23.5
VAUGIRARD - PARC DES EXPOSITIONS,1,inf1946,meuble,maison,32.86496223347724,39.45912260572345,23.023721675107936
