rooms,epoque,furnished,housingType,ref,refmaj,refmin
1,inf1946,meuble,maison,24.2,29.0,16.9
1,inf1946,meuble,maison,35.3,42.4,24.7
1,inf1946,meuble,maison,34.4,41.3,24.1
1,inf1946,meuble,maison,24.2,29.0,16.9
1,inf1946,meuble,maison,24.719010999986764,29.66729985712584,17.27072214284769
1,inf1946,meuble,maison,33.6,40.3,23.5
1,inf1946,meuble,maison,24.599999758598447,29.499999718375868,17.199999839077233
1,inf1946,meuble,maison,26.83219193876856,32.21051753928231,18.794422239482746
1,inf1946,meuble,maison,24.2222411102208,29.051138710580794,16.98320924401175
1,inf1946,meuble,maison,24.0000047014534,28.800005246763316,16.800003085505526
1,inf1946,meuble,maison,25.69999999730259,30.799999996814165,17.999999998097728
1,inf1946,meuble,maison,21.500000000935497,25.800000001114853,15.100000000640987
1,inf1946,meuble,maison,21.5,25.8,15.1
1,inf1946,meuble,maison,27.401678265282328,32.90199577489766,19.20117932153218
1,inf1946,meuble,maison,25.28727396400628,30.30472975469947,17.69732660183509
1,inf1946,meuble,maison,25.28727396400628,30.30472975469947,17.69732660183509
1,inf1946,meuble,maison,23.30000000444144,28.000000005222887,16.30000000313295
1,inf1946,meuble,maison,21.500012713539462,25.800015105721407,15.100008509733478
1,inf1946,meuble,maison,21.5,25.8,15.1
1,inf1946,meuble,maison,26.00290033297919,31.203469025780706,18.202047293888448
1,inf1946,meuble,maison,24.204236570036162,29.00509633323511,16.903008916900397
1,inf1946,meuble,maison,27.404922376207136,32.905853636565816,19.203458967062243
1,inf1946,meuble,maison,21.5,25.8,15.1
1,inf1946,meuble,maison,24.0,28.8,16.8
1,inf1946,meuble,maison,21.500032381932105,25.800038541458044,15.100021734539398
1,inf1946,meuble,maison,24.902345045259413,29.902802892773902,17.401648759700887
1,inf1946,meuble,maison,23.999982551622676,28.799978932178416,16.799988062439276
1,inf1946,meuble,maison,23.329616698712133,27.99554003845456,16.34413935512425
